a_x_int,a_y_int,a_z_int,w_x_int,w_y_int,w_z_int,q_w_int,q_x_int,q_y_int,q_z_int,a_x,a_y,a_z,w_x,w_y,w_z,q_w,q_x,q_y,q_z,psi,theta,phi,q_w_ref,q_x_ref,q_y_ref,q_z_ref,psi_ref,theta_ref,phi_ref,psi_err,theta_err,phi_err
500,90,-143,41,-1032,-338,11787,2567,53782,63821,7.8125,1.40625,-2.234375,0.16015625,-4.03125,-1.3203125,0.71942138671875,0.15667724609375,-0.7174072265625,-0.10467529296875,-87.48569435402855,-88.07512989587937,91.63120275354916,0.730892241001,0.159500673413,-0.727233290672,-0.104619406164,-87.05081737457994,nan,91.36180614146711,0.43487697944861736,nan,0.2693966120820477
499,87,-136,38,-1032,-348,11711,2583,53713,63786,7.796875,1.359375,-2.125,0.1484375,-4.03125,-1.359375,0.71478271484375,0.15765380859375,-0.72161865234375,-0.1068115234375,-89.45348768349044,-86.30619676959051,93.50783183059599,0.726161003113,0.160417497158,-0.731479406357,-0.106776431203,-89.03277251488171,nan,93.24783189787593,0.42071516860872293,nan,0.2599999327200635
506,88,-120,44,-1042,-356,11634,2598,53644,63751,7.90625,1.375,-1.875,0.171875,-4.0703125,-1.390625,0.7100830078125,0.1585693359375,-0.725830078125,-0.10894775390625,-91.38954767545728,-85.03494138539342,95.34797147505778,0.721344947815,0.161358490586,-0.735687196255,-0.108930401504,-90.97664482449557,nan,95.09819121932787,0.4129028509617143,nan,0.24978025572990248
515,88,-94,54,-1070,-364,11554,2614,53574,63716,8.046875,1.375,-1.46875,0.2109375,-4.1796875,-1.421875,0.7052001953125,0.1595458984375,-0.7301025390625,-0.111083984375,-93.3235233787501,-83.8746966502895,97.19115164018517,0.71637159586,0.162329390645,-0.739897370338,-0.111090302467,-92.90264155149953,nan,96.93290377482607,0.4208818272505681,nan,0.2582478653590954
523,86,-59,69,-1147,-374,11469,2630,53502,63681,8.171875,1.34375,-0.921875,0.26953125,-4.48046875,-1.4609375,0.70001220703125,0.1605224609375,-0.7344970703125,-0.11322021484375,-95.29142423668884,-82.73191001715153,99.06865657012634,0.711032211781,0.163349494338,-0.744309306145,-0.113314777613,-94.88951445746113,nan,98.82762707703549,0.401909779227708,nan,0.2410294930908492
526,77,-42,77,-1221,-379,11377,2647,53426,63644,8.21875,1.203125,-0.65625,0.30078125,-4.76953125,-1.48046875,0.69439697265625,0.16156005859375,-0.7391357421875,-0.115478515625,-97.33229486671163,-81.56925884585621,101.01462319589353,0.705335915089,0.164373591542,-0.748964965343,-0.115601368248,-96.93649480414935,nan,100.77805972373665,0.3958000625622873,nan,0.2365634721568881
534,59,-40,79,-1303,-387,11278,2663,53345,63606,8.34375,0.921875,-0.625,0.30859375,-5.08984375,-1.51171875,0.6883544921875,0.16253662109375,-0.74407958984375,-0.1177978515625,-99.45382611535202,-80.43169059069048,103.03166567823314,0.699239253998,0.165376603603,-0.753910839558,-0.117982566357,-99.05248977128896,nan,102.78853341891956,0.4013363440630542,nan,0.24313225931358318
543,35,-53,79,-1382,-402,11174,2679,53260,63566,8.484375,0.546875,-0.828125,0.30859375,-5.3984375,-1.5703125,0.6820068359375,0.16351318359375,-0.749267578125,-0.1202392578125,-101.60349514453031,-79.32379296723882,105.06706327655468,0.692740857601,0.166377857327,-0.7591329813,-0.120484046638,-101.22073317747888,nan,104.84177284416951,0.3827619670514366,nan,0.22529043238516522
553,-1,-86,77,-1469,-438,11062,2697,53170,63522,8.640625,-0.015625,-1.34375,0.30078125,-5.73828125,-1.7109375,0.6751708984375,0.16461181640625,-0.7547607421875,-0.1229248046875,-103.8021547200702,-78.15744264699597,107.14191369166838,0.685780227184,0.167454630136,-0.76465088129,-0.123200431466,-103.43428877818913,nan,106.92951502170033,0.36786594188107813,nan,0.2123986699680529
565,-22,-118,74,-1516,-481,10945,2716,53078,63475,8.828125,-0.34375,-1.84375,0.2890625,-5.921875,-1.87890625,0.66802978515625,0.165771484375,-0.7603759765625,-0.12579345703125,-105.97117931301831,-76.9571771573792,109.17751535315784,0.678522408009,0.168666258454,-0.770273685455,-0.126129940152,-105.60633008786016,nan,108.96974556922446,0.364849225158153,nan,0.20776978393338652
574,-38,-156,72,-1541,-535,10825,2739,52985,63424,8.96875,-0.59375,-2.4375,0.28125,-6.01953125,-2.08984375,0.66070556640625,0.16717529296875,-0.76605224609375,-0.12890625,-108.04926661179681,-75.73584929297544,111.12214839709647,0.671050131321,0.170084640384,-0.775897622108,-0.129289194942,-107.68643161894953,-85.82960763781865,110.91638625222107,0.36283499284728293,10.09375834484321,0.20576214487539346
579,-47,-199,64,-1544,-599,10703,2767,52893,63369,9.046875,-0.734375,-3.109375,0.25,-6.03125,-2.33984375,0.65325927734375,0.16888427734375,-0.77166748046875,-0.13226318359375,-109.99206472895533,-74.47709370938176,112.9364579313312,0.663456082344,0.171751514077,-0.781417667866,-0.132721871138,-109.63044867383164,-82.42895229458854,112.72509987938486,0.3616160551236902,7.951858585206779,0.21135805194634827
584,-49,-252,67,-1523,-696,10578,2802,52809,63307,9.125,-0.765625,-3.9375,0.26171875,-5.94921875,-2.71875,0.6456298828125,0.1710205078125,-0.77679443359375,-0.13604736328125,-111.72138373185523,-73.0401930981494,114.5382786894321,0.655808627605,0.173885121942,-0.786717116833,-0.136481150985,-111.38407144789296,-79.86884003332909,114.35470761235742,0.3373122839622624,6.828646935179691,0.18357107707468856
591,-36,-284,77,-1495,-776,10453,2844,52729,63241,9.234375,-0.5625,-4.4375,0.30078125,-5.83984375,-3.03125,0.63800048828125,0.173583984375,-0.78167724609375,-0.14007568359375,-113.2588076695617,-71.58460033150261,115.96298168038247,0.64814811945,0.176439732313,-0.791773021221,-0.14045868814,-112.94959350520429,-77.63610571672069,115.81243507223195,0.3092141643574138,6.0515053852180785,0.15054660815052046
603,14,-296,100,-1464,-845,10328,2892,52653,63174,9.421875,0.21875,-4.625,0.390625,-5.71875,-3.30078125,0.63037109375,0.176513671875,-0.78631591796875,-0.1441650390625,-114.62541206051175,-70.12683600269557,117.2415412349442,0.640483915806,0.179416328669,-0.796586811543,-0.144544392824,-114.33737415127007,-75.5888696612884,117.11750553777317,0.28803790924168027,5.46203365859283,0.12403569717102414
