q_w,q_x,q_y,q_z
1,-0.0010986328125,0.0006103515625,-0.00103759765625
1,-0.002197265625,0.0010986328125,-0.00213623046875
1,-0.00335693359375,0.0015869140625,-0.00323486328125
1,-0.00457763671875,0.0020751953125,-0.00433349609375
1,-0.00579833984375,0.0025634765625,-0.0054931640625
1,-0.00714111328125,0.00299072265625,-0.0067138671875
1,-0.008544921875,0.00341796875,-0.00799560546875
1,-0.0101318359375,0.0037841796875,-0.00933837890625
0.99993896484375,-0.0118408203125,0.004150390625,-0.0107421875
0.9998779296875,-0.01373291015625,0.0045166015625,-0.0123291015625
0.99981689453125,-0.01580810546875,0.00482177734375,-0.01397705078125
0.999755859375,-0.01806640625,0.005126953125,-0.0157470703125
0.99969482421875,-0.02056884765625,0.00537109375,-0.01763916015625
0.99957275390625,-0.0233154296875,0.00555419921875,-0.01971435546875
0.99945068359375,-0.02618408203125,0.0057373046875,-0.0218505859375
0.99932861328125,-0.02923583984375,0.005859375,-0.0240478515625
0.9991455078125,-0.0323486328125,0.00592041015625,-0.02630615234375
0.99896240234375,-0.03546142578125,0.00592041015625,-0.02862548828125
0.998779296875,-0.03857421875,0.005859375,-0.03094482421875
0.99859619140625,-0.04156494140625,0.0057373046875,-0.033203125
0.9984130859375,-0.04443359375,0.005615234375,-0.035400390625
0.99822998046875,-0.047119140625,0.00543212890625,-0.0374755859375
0.99798583984375,-0.0496826171875,0.00518798828125,-0.03948974609375
0.99774169921875,-0.0521240234375,0.00494384765625,-0.04144287109375
0.99749755859375,-0.05450439453125,0.004638671875,-0.04327392578125
0.99725341796875,-0.0567626953125,0.00433349609375,-0.0450439453125
0.99700927734375,-0.0589599609375,0.00408935546875,-0.0467529296875
0.99676513671875,-0.0611572265625,0.00384521484375,-0.04840087890625
0.99652099609375,-0.0633544921875,0.003662109375,-0.04998779296875
0.99627685546875,-0.06561279296875,0.00347900390625,-0.051513671875
0.99603271484375,-0.06793212890625,0.00335693359375,-0.05303955078125
0.99578857421875,-0.0703125,0.00323486328125,-0.05450439453125
0.9954833984375,-0.0728759765625,0.003173828125,-0.055908203125
0.99517822265625,-0.07550048828125,0.003173828125,-0.05731201171875
0.994873046875,-0.0782470703125,0.00323486328125,-0.05877685546875
0.99456787109375,-0.0810546875,0.0032958984375,-0.06024169921875
0.99420166015625,-0.0838623046875,0.00341796875,-0.06170654296875
0.99383544921875,-0.08660888671875,0.00360107421875,-0.0631103515625
0.9935302734375,-0.0892333984375,0.00384521484375,-0.064453125
0.99322509765625,-0.09173583984375,0.00408935546875,-0.06573486328125
0.992919921875,-0.09417724609375,0.00433349609375,-0.06695556640625
0.99261474609375,-0.09661865234375,0.0045166015625,-0.06805419921875
0.9923095703125,-0.09906005859375,0.004638671875,-0.069091796875
0.99200439453125,-0.10150146484375,0.00469970703125,-0.070068359375
0.99169921875,-0.10394287109375,0.0047607421875,-0.0709228515625
0.99139404296875,-0.10626220703125,0.0047607421875,-0.07171630859375
0.9910888671875,-0.10845947265625,0.0047607421875,-0.07244873046875
0.99078369140625,-0.11053466796875,0.00469970703125,-0.07305908203125
0.99053955078125,-0.1124267578125,0.004638671875,-0.07354736328125
0.99029541015625,-0.1141357421875,0.004638671875,-0.073974609375
