axRaw,ayRaw,azRaw,wxRaw,wyRaw,wzRaw,ax,ay,az,wx,wy,wz
-1,0,0,-194,-397,-119,-0.0005987548828125,0.0,0.0,-0.02584686067838931,-0.0528928025222709,-0.015854517632620246
-108,112,-4812,577,-408,-85,-0.06466552734375,0.067060546875,-2.88120849609375,0.07687442583211665,-0.0543583461689837,-0.011324655451871604
-68,-44,-5016,549,-386,-91,-0.04071533203125,-0.026345214843750003,-3.0033544921875,0.07314395109502954,-0.0514272588755581,-0.01212404289553313
-44,-44,-4852,555,-417,-70,-0.026345214843750003,-0.026345214843750003,-2.90515869140625,0.07394333853869106,-0.05555742733447598,-0.009326186842717792
-68,-40,-4768,565,-394,-86,-0.04071533203125,-0.023950195312500002,-2.85486328125,0.0752756509447936,-0.05249310880044014,-0.011457886692481857
17508,-4,-128,569,-394,-68,10.48300048828125,-0.00239501953125,-0.076640625,0.07580857590723461,-0.05249310880044014,-0.009059724361497283
17164,300,-128,553,-394,-80,10.27702880859375,0.17962646484375,-0.076640625,0.07367687605747056,-0.05249310880044014,-0.010658499248820334
-124,-88,-4808,575,-414,-119,-0.07424560546875,-0.052690429687500005,-2.8788134765625,0.07660796335089615,-0.05515773361264523,-0.015854517632620246
-76,-4,-104,560,-413,-99,-0.045505371093750004,-0.00239501953125,-0.0622705078125,0.07460949474174233,-0.05502450237203497,-0.013189892820415163
-52,72,-4812,548,-418,-102,-0.03113525390625,0.0431103515625,-2.88120849609375,0.07301071985441929,-0.055690658575086247,-0.013589586542245924
-84,-52,-5000,558,-420,-83,-0.050295410156250005,-0.03113525390625,-2.9937744140625,0.07434303226052183,-0.05595712105630675,-0.011058192970651094
-128,-84,-4800,547,-395,-105,-0.076640625,-0.050295410156250005,-2.8740234375,0.07287748861380902,-0.05262634004105039,-0.013989280264076687
-100,120,-5104,561,-419,-97,-0.05987548828125,0.0718505859375,-3.0560449218750003,0.0747427259823526,-0.0558238898156965,-0.012923430339194655
-116,-112,-5096,568,-411,-100,-0.06945556640625,-0.067060546875,-3.0512548828125,0.07567534466662437,-0.05475803989081446,-0.013323124061025418
-76,20,-5108,548,-418,-119,-0.045505371093750004,0.011975097656250001,-3.05843994140625,0.07301071985441929,-0.055690658575086247,-0.015854517632620246
17228,-64,-4820,555,-402,-109,10.315349121093751,-0.0383203125,-2.8859985351562503,0.07394333853869106,-0.053558958725322174,-0.014522205226517705
17272,-56,-88,552,-399,-108,10.3416943359375,-0.0335302734375,-0.052690429687500005,0.07354364481686029,-0.053159265003491406,-0.01438897398590745
-20,116,-5076,564,-398,-121,-0.011975097656250001,0.06945556640625,-3.0392797851562503,0.07514241970418334,-0.053026033762881154,-0.016120980113840753
-96,-36,-116,586,-403,-109,-0.05748046875,-0.02155517578125,-0.06945556640625,0.07807350699760894,-0.053692189965932426,-0.014522205226517705
-44,12,-36,561,-417,-97,-0.026345214843750003,0.00718505859375,-0.02155517578125,0.0747427259823526,-0.05555742733447598,-0.012923430339194655
17488,4,-44,559,-388,-116,10.471025390625,0.00239501953125,-0.026345214843750003,0.07447626350113207,-0.05169372135677862,-0.015454823910789483
-16,-100,-108,583,-400,-98,-0.009580078125,-0.05987548828125,-0.06466552734375,0.07767381327577817,-0.05329249624410167,-0.013056661579804908
17188,-84,-64,558,-389,-116,10.29139892578125,-0.050295410156250005,-0.0383203125,0.07434303226052183,-0.05182695259738887,-0.015454823910789483
-64,-88,-5076,546,-407,-86,-0.0383203125,-0.052690429687500005,-3.0392797851562503,0.07274425737319877,-0.054225114928373445,-0.011457886692481857
17256,-20,-5068,577,-410,-108,10.332114257812501,-0.011975097656250001,-3.03448974609375,0.07687442583211665,-0.05462480865020421,-0.01438897398590745
-108,-4,-5000,564,-128,-89,-0.06466552734375,-0.00239501953125,-2.9937744140625,0.07514241970418334,-0.01705359879811253,-0.01185758041431262
-84,-88,-4788,556,-418,-124,-0.050295410156250005,-0.052690429687500005,-2.86683837890625,0.07407656977930133,-0.055690658575086247,-0.016520673835671518
-64,-48,-5084,560,-394,-103,-0.0383203125,-0.028740234375,-3.04406982421875,0.07460949474174233,-0.05249310880044014,-0.01372281778285618
-128,264,-112,-172,-27,-103,-0.076640625,0.1580712890625,-0.067060546875,-0.022915773384963714,-0.0035972434964768626,-0.01372281778285618
-128,20,-4864,568,-405,-107,-0.076640625,0.011975097656250001,-2.9123437500000002,0.07567534466662437,-0.05395865244715294,-0.014255742745297196
-20,-68,-80,560,-425,-126,-0.011975097656250001,-0.04071533203125,-0.047900390625000004,0.07460949474174233,-0.05662327725935802,-0.016787136316892024
-104,-80,-5024,87,-457,-142,-0.0622705078125,-0.047900390625000004,-3.00814453125,0.011591117933092112,-0.06088667695888615,-0.018918836166656093
-80,-64,-4812,581,-396,-128,-0.047900390625000004,-0.0383203125,-2.88120849609375,0.07740735079455767,-0.05275957128166065,-0.01705359879811253
-88,-104,-4,308,26,40,-0.052690429687500005,-0.0622705078125,-0.00239501953125,0.041035222107958284,0.003464012255866608,0.005329249624410167
17260,124,-80,-111,-47,-143,10.33450927734375,0.07424560546875,-0.047900390625000004,-0.014788667707738212,-0.006261868308681946,-0.019052067407266345
-76,-64,-72,2603,-44,66,-0.045505371093750004,-0.0383203125,-0.0431103515625,0.34680091930849155,-0.0058621745868511835,0.008793261880276773
17184,64,-100,-103,-51,-119,10.28900390625,0.0383203125,-0.05987548828125,-0.01372281778285618,-0.006794793271122962,-0.015854517632620246
