timestamp,a_x_int,a_y_int,a_z_int,w_x_int,w_y_int,w_z_int,q_w_int,q_x_int,q_y_int,q_z_int,a_x,a_y,a_z,w_x,w_y,w_z,q_w,q_x,q_y,q_z,psi,theta,phi,q_w_ref,q_x_ref,q_y_ref,q_z_ref,psi_ref,theta_ref,phi_ref,psi_err,theta_err,phi_err,q_w_err,q_x_err,q_y_err,q_z_err
1724094494.165571,209.0,3213.0,1630.0,-27616.0,4967.0,8071.0,50991.0,58354.0,63478.0,60566.0,0.50055908203125,7.695197753906251,3.9038818359375003,-7.358627881385558,1.3235191442222647,2.1506186859307226,-0.88775634765625,-0.4383544921875,-0.1256103515625,-0.3033447265625,36.632269453477626,-2.4600208588517596,51.80980177286493,1.0,-0.033581122756,0.006120564882,0.010019732639,1.123368097297736,0.7399427055810476,-3.839422696635708,35.50890135617989,3.199963564432807,55.64922446950064,1.88775634765625,0.4047733694315,0.1317309164445,0.3133644592015
1724094494.1797724,112.0,3184.0,1710.0,-32768.0,5779.0,9915.0,50778.0,58932.0,63656.0,60259.0,0.2682421875,7.6257421875,4.0954833984375005,-8.731442584633616,1.5398866789733177,2.6419755013013395,-0.9007568359375,-0.403076171875,-0.11474609375,-0.32208251953125,38.13395174169109,-3.0341363044948535,47.254145822306725,0.998441934586,-0.0735540241,0.013279090635,0.022340090945,2.438642885355493,1.7078509866214797,-8.39035573771851,35.6953088563356,4.741987291116333,55.64450156002523,1.8991987705234998,0.329522147775,0.128025184385,0.34442261047625
1724094494.1817746,4.0,3013.0,2133.0,-32768.0,6921.0,11790.0,51534.0,59900.0,63935.0,60269.0,0.009580078125,7.216193847656251,5.10857666015625,-8.731442584633616,1.8441868325271382,3.141592653589793,-0.8546142578125,-0.343994140625,-0.09771728515625,-0.32147216796875,39.96728865982658,-3.103965009050234,42.67679355474549,0.994953215122,-0.113466046751,0.022026795894,0.0368703641,3.907478324997761,2.992103901684961,-12.910371087459382,36.05981033482882,6.096068910735195,55.58716464220487,1.8495674729345,0.230528093874,0.11974408105025,0.35834253206875
1724094494.1961641,-49.0,2866.0,2848.0,-32768.0,8154.0,13180.0,50522.0,60156.0,63996.0,59575.0,-0.11735595703125,6.864125976562501,6.821015625,-8.731442584633616,2.1727350718720246,3.5119755024862993,-0.9163818359375,-0.328369140625,-0.093994140625,-0.36383056640625,42.09725500220358,-3.822883792583013,38.07705572763239,0.989425301552,-0.153254538774,0.032460290939,0.052910406142,5.420317312447598,4.614523381387042,-17.39225391213317,36.67693768975598,8.437407173970055,55.46930963976556,1.9058071374895,0.175114601851,0.126454431564,0.41674097254825
1724094494.1983716,-155.0,2544.0,3701.0,-32768.0,8828.0,14180.0,50434.0,60797.0,64166.0,59203.0,-0.37122802734375004,6.092929687500001,8.863967285156251,-8.731442584633616,2.3523307842146477,3.778437983706808,-0.9217529296875,-0.28924560546875,-0.0836181640625,-0.38653564453125,44.40626812473722,-3.9827938222295796,33.351632479734604,0.98179012537,-0.192817896605,0.043856669217,0.069986723363,6.9109083289004865,6.49436378874388,-21.832827810454088,37.495359795836734,10.47715761097346,55.184460290188696,1.9035430550574999,0.09642770886374999,0.1274748332795,0.45652236789425
1724094494.2115421,-13.0,2128.0,4359.0,-32768.0,9075.0,14394.0,50375.0,61450.0,64332.0,58835.0,-0.03113525390625,5.0966015625,10.43989013671875,-8.731442584633616,2.418147017076113,3.8354609546879965,-0.92535400390625,-0.2493896484375,-0.073486328125,-0.40899658203125,46.77816755600983,-3.8989663413164064,28.620827800626557,0.972061932087,-0.232072934508,0.055473186076,0.087154872715,8.274199564737527,8.528382450692648,-26.243057681612736,38.5039679912723,12.427348792009054,54.8638854822393,1.89741593599325,0.01731671392949999,0.128959514201,0.49615145474625
1724094494.2274368,-108.0,1606.0,5144.0,-32768.0,8344.0,13422.0,50335.0,62108.0,64511.0,58505.0,-0.258662109375,3.8464013671875,12.31998046875,-8.731442584633616,2.2233629433039215,3.5764594229416624,-0.92779541015625,-0.209228515625,-0.06256103515625,-0.42913818359375,48.93922838023998,-3.6400545116870684,23.900307747568895,0.960434138775,-0.270911723375,0.065803162754,0.103214837611,9.413122915929678,10.505122196899753,-30.64668922315025,39.526105464310305,14.145176708586822,54.54699697071915,1.88822954893125,0.061683207750000024,0.12836419791025,0.53235302120475
1724094494.2288256,228.0,691.0,5164.0,-32768.0,7906.0,12411.0,51267.0,62947.0,64752.0,58662.0,0.5460644531250001,1.65495849609375,12.367880859375001,-8.731442584633616,2.1066523765293392,3.3070658544277287,-0.87091064453125,-0.15802001953125,-0.0478515625,-0.4195556640625,50.948556492048034,-2.822816766455553,19.169398421941303,0.947003126144,-0.309317559004,0.075047306716,0.118012972176,10.315875348156636,12.424153788701267,-35.06480736761068,40.632681143891396,15.24697055515682,54.234205789551986,1.81791377067525,0.15129753947275,0.122898869216,0.5375686362385
1724094494.243456,151.0,-31.0,4850.0,-32768.0,5393.0,11009.0,50373.0,63431.0,64936.0,57983.0,0.36164794921875004,-0.07424560546875,11.6158447265625,-8.731442584633616,1.4370321612222017,2.9334854557565757,-0.92547607421875,-0.12847900390625,-0.03662109375,-0.46099853515625,52.61798838403158,-2.904614388321773,14.485694272400115,0.932121872902,-0.346953064203,0.080626659095,0.131905391812,11.132383146221633,13.995028597685648,-39.480047756187915,41.48560523780994,16.89964298600742,53.96574202858803,1.85759794712075,0.21847406029674998,0.117247752845,0.59290392696825
1724094494.2448113,156.0,-445.0,4387.0,-32768.0,3504.0,8659.0,50375.0,64065.0,65197.0,57791.0,0.37362304687500003,-1.06578369140625,10.50695068359375,-8.731442584633616,0.9336845341966611,2.3072986248883813,-0.92535400390625,-0.08978271484375,-0.02069091796875,-0.47271728515625,53.90928982410425,-2.6704249139496894,9.835625988302846,0.91605091095,-0.383935719728,0.082834012806,0.143646404147,11.754819778767331,15.192467991513835,-43.928617003856296,42.15447004533692,17.862892905463525,53.76424299215914,1.8414049148562501,0.29415300488425,0.10352493077475,0.61636368930325
1724094494.259421,231.0,-700.0,4331.0,-31692.0,2155.0,6349.0,50383.0,64671.0,65473.0,57657.0,0.55324951171875,-1.676513671875,10.37282958984375,-8.44472895484035,0.5742266470301954,1.6917702932690073,-0.92486572265625,-0.05279541015625,-0.00384521484375,-0.48089599609375,54.83834290141872,-2.5026496202907533,5.342517255166092,0.899399399757,-0.41907197237,0.082436151803,0.153032436967,12.191317513585128,16.05436131639749,-48.26641999657549,42.647025387833594,18.557010936688243,53.60893725174159,1.82426512241325,0.36627656221375,0.08628136664675,0.63392843306075
1724094494.2610755,178.0,-981.0,3937.0,-24363.0,1221.0,5092.0,50406.0,65138.0,159.0,57563.0,0.4263134765625,-2.34951416015625,9.42919189453125,-6.491825429975243,0.32535068957024066,1.3568269543748284,-0.9234619140625,-0.0242919921875,0.00970458984375,-0.48663330078125,55.539907665063424,-2.3822554695980775,1.8630736046639542,0.885441124439,-0.445350050926,0.081597507,0.160498082638,12.55466337553476,16.705665844484972,-51.579490578767945,42.985244289528666,19.08792131408305,53.4425641834319,1.8089030385015001,0.4210580587385,0.07189291715625,0.64713138341925
1724094494.2756906,11.0,-1203.0,3738.0,-18166.0,948.0,4280.0,50439.0,65490.0,322.0,57487.0,0.026345214843750003,-2.88120849609375,8.9525830078125,-4.840557433851754,0.2526064321970419,1.1404594196237758,-0.92144775390625,-0.0028076171875,0.0196533203125,-0.49127197265625,56.14209948088067,-2.233819159729639,-0.7430082138894902,0.87425994873,-0.464430898428,0.081184223294,0.166442260146,12.843401642623807,17.250750629305706,-54.02961023631793,43.29869783825686,19.484569789035344,53.28660202242844,1.79570770263625,0.4616232812405,0.061530902981500005,0.65771423280225
