ax,ay,az,wx,wy,wz,q_w,q_x,q_y,q_z,psi,theta,phi
-1.12,5.16,3.06,-0.88,0.36,-0.67,1.0,-0.001098434324,0.000588091789,-0.001005000086,-0.11523841237143832,0.06726386973371788,-0.12593889447349754
-1.19,5.14,3.1,-0.89,0.32,-0.72,0.999996960163,-0.002214169595,0.001120862202,-0.002089553978,-0.23972914221204544,0.12791089060138067,-0.2539930954034394
-1.3,5.09,3.16,-0.91,0.3,-0.74,0.999993741512,-0.003355405061,0.001625615871,-0.003199096536,-0.3672123789894773,0.18505095678437478,-0.385095057964678
-1.47,5.02,3.24,-0.93,0.28,-0.75,0.999980390072,-0.004537493456,0.002113026334,-0.004323559348,-0.4965406956672886,0.2398828632240395,-0.5210045252771827
-1.61,4.96,3.31,-0.97,0.26,-0.77,0.999966740608,-0.00577948289,0.00256917323,-0.005472907797,-0.6288482511734794,0.2907724250937564,-0.6638903043163934
-1.75,4.84,3.39,-1.04,0.24,-0.8,0.999952435493,-0.007127007935,0.003006289713,-0.006667048205,-0.7664355894623005,0.33903607325844803,-0.8189876013549546
-1.82,4.78,3.46,-1.1,0.22,-0.84,0.999927520752,-0.00856853649,0.003419746412,-0.007926119491,-0.911614567459377,0.38406603259346905,-0.9849845339803589
-1.89,4.72,3.58,-1.18,0.21,-0.89,0.999901652336,-0.010130093433,0.003818316851,-0.009260124527,-1.0655444396734155,0.42675842763945043,-1.1648660346790418
-1.94,4.65,3.69,-1.27,0.2,-0.95,0.999864518642,-0.011826546863,0.004206284881,-0.010678954422,-1.2293871382796595,0.4674722673080627,-1.3603583299700943
-1.96,4.49,3.81,-1.41,0.18,-1.04,0.999815046787,-0.013738523237,0.004569843411,-0.012232150882,-1.408847871811591,0.5043178343100573,-1.5807116950233975
-1.98,4.33,3.9,-1.53,0.16,-1.11,0.999764502048,-0.01583054103,0.004903631285,-0.01388530992,-1.599943673859671,0.5366016722743385,-1.8218147371673357
-1.95,4.22,3.92,-1.66,0.14,-1.19,0.999691843987,-0.018116516992,0.005204751156,-0.015663230792,-1.805540322218097,0.5637289879667565,-2.085295804765419
-1.92,4.18,3.95,-1.79,0.11,-1.27,0.999607264996,-0.020602235571,0.005459643435,-0.017550714314,-2.023835734237606,0.5839589878141244,-2.371750386339736
