ax,ay,az,wx,wy,wz,q_w,q_x,q_y,q_z,psi,theta,phi
-5.37,1.3,6.94,-1.7,-0.02,-0.83,0.99292,-0.09419,0.00436,-0.06666,-7.660434270503327,-0.22340531310279427,-10.82294093672434
-5.11,1.21,7.14,-1.7,-0.04,-0.78,0.99259,-0.09662,0.00455,-0.06779,-7.79135000052047,-0.23303235240810824,-11.103577517431807
-4.81,1.04,7.21,-1.72,-0.08,-0.74,0.99226,-0.09908,0.00469,-0.06885,-7.913657436663076,-0.24843053430537052,-11.387293748840047
-4.62,0.86,7.14,-1.72,-0.12,-0.69,0.99192,-0.10154,0.00478,-0.06983,-8.026287187713116,-0.2691949659412789,-11.670787116217747
-4.47,0.73,6.89,-1.69,-0.16,-0.63,0.99159,-0.10396,0.00482,-0.07071,-8.126814009002874,-0.2946789706355164,-11.949292726413004
-4.45,0.66,6.69,-1.63,-0.19,-0.58,0.99127,-0.1063,0.00482,-0.07151,-8.21765030828697,-0.32356148327857354,-12.218313370764628
-4.42,0.62,6.52,-1.54,-0.21,-0.53,0.99096,-0.10851,0.00479,-0.07223,-8.298966956015311,-0.3542023471607778,-12.47224698260535
-4.39,0.56,6.41,-1.45,-0.22,-0.47,0.99066,-0.11059,0.00474,-0.07286,-8.369756268003595,-0.3852435667798247,-12.711197601855813
-4.36,0.44,6.29,-1.31,-0.22,-0.39,0.99039,-0.11246,0.00469,-0.07337,-8.426820214341369,-0.41325066467330285,-12.926038382436499
-4.36,0.3,6.24,-1.2,-0.21,-0.33,0.99014,-0.11417,0.00466,-0.07379,-8.473875445392292,-0.4366613100111728,-13.122717771765252
-4.37,0.17,6.21,-1.08,-0.19,-0.27,0.98992,-0.1157,0.00466,-0.07413,-8.512169478193456,-0.4542243609103667,-13.298913737016075
-4.35,0.09,6.17,-0.96,-0.17,-0.22,0.98972,-0.11706,0.00468,-0.0744,-8.542809632769446,-0.4672378678743763,-13.455802641905327
-4.36,-0.02,6.15,-0.79,-0.14,-0.14,0.98956,-0.11816,0.00474,-0.07455,-8.56037832833454,-0.47192931219213685,-13.58314522308151
-4.34,-0.09,6.1,-0.66,-0.12,-0.08,0.98943,-0.11907,0.00483,-0.07462,-8.56929234882614,-0.470524704489141,-13.688884177086312
-4.37,-0.16,6.08,-0.52,-0.1,-0.03,0.98933,-0.11977,0.00494,-0.07462,-8.570595669632434,-0.46409483846072475,-13.770648978515243
-4.37,-0.24,6.08,-0.34,-0.07,0.03,0.98926,-0.1202,0.00509,-0.07453,-8.562387507042207,-0.44956707758602044,-13.821824494199205
-4.39,-0.28,6.1,-0.21,-0.04,0.07,0.98922,-0.12044,0.00528,-0.07439,-8.549090878855273,-0.4281696159204361,-13.851428402482727
-4.4,-0.3,6.16,-0.11,-0.02,0.08,0.9892,-0.12053,0.00549,-0.07424,-8.534991579797822,-0.4030721663953085,-13.863907074017332
-4.41,-0.31,6.21,-0.05,-0.01,0.09,0.98919,-0.12053,0.00571,-0.07408,-8.519941940401324,-0.37593033341822363,-13.866122936394591
-4.48,-0.3,6.34,-0.0,0.01,0.07,0.98919,-0.12045,0.00595,-0.07395,-8.508599910776388,-0.34625161852995395,-13.859238455903904
-4.52,-0.27,6.5,0.0,0.02,0.05,0.98919,-0.12037,0.0062,-0.07385,-8.50079761846736,-0.3158556424625517,-13.852391690053816
-4.59,-0.25,6.68,-0.01,0.04,0.02,0.98918,-0.1203,0.00647,-0.0738,-8.499014461120316,-0.2839757075228961,-13.846916237220166
-4.6,-0.22,6.85,-0.03,0.05,-0.02,0.98916,-0.12026,0.00675,-0.07381,-8.504223934101729,-0.2520518912935808,-13.844990964172563
-4.7,-0.22,7.07,-0.1,0.05,-0.07,0.98913,-0.12032,0.00703,-0.0739,-8.518475241096693,-0.22208634283189918,-13.854460355626538
