ax,ay,az,wx,wy,wz,q_w,q_x,q_y,q_z,psi,theta,phi
-0.72,0.05,6.88,0.04,0.08,0.02,0.99999,0.00019,0.0037,0.00031,0.035604783005202055,0.4239816484649236,0.02190435058321972
-0.73,0.05,6.87,0.05,0.08,0.02,0.99999,0.00022,0.00382,0.00032,0.03676650371857885,0.4377315690343683,0.025350841526820756
-0.74,0.07,6.87,0.05,0.07,0.02,0.99999,0.00025,0.00393,0.00033,0.03792876313036683,0.4503355064392575,0.02879723402178383
-0.72,0.09,6.88,0.06,0.06,0.02,0.99999,0.00029,0.00403,0.00034,0.03909607564960886,0.4617930658119285,0.03338943838484148
-0.73,0.07,6.89,0.06,0.06,0.02,0.99999,0.00033,0.00414,0.00035,0.040264688906534285,0.474396495291246,0.03798228405833712
-0.75,0.05,6.9,0.07,0.06,0.03,0.99999,0.00037,0.00425,0.00036,0.04143431351065424,0.48699985604938034,0.04257539093260894
-0.74,0.03,6.88,0.07,0.07,0.02,0.99999,0.00041,0.00436,0.00037,0.04260494953803353,0.4996031486957897,0.047168759324087296
-0.79,-0.04,6.88,0.06,0.08,0.01,0.99999,0.00044,0.00448,0.00037,0.04262603348916452,0.5133532635527667,0.050611746470982044
-0.78,0.0,6.88,0.06,0.08,-0.01,0.99999,0.00047,0.0046,0.00036,0.04150199284107053,0.5271039465791153,0.05404947135718275
-0.8,0.03,6.89,0.05,0.09,-0.02,0.99999,0.0005,0.00472,0.00035,0.0403787759811244,0.5408547287242317,0.05748693030049522
-0.78,0.08,6.89,0.05,0.09,-0.03,0.99999,0.00053,0.00484,0.00033,0.0381104293830316,0.5546062181445216,0.06091857753006749
-0.73,0.17,6.87,0.05,0.1,-0.02,0.99999,0.00057,0.00496,0.00032,0.036994542091087004,0.5683568685748381,0.06550132269268427
-0.74,0.17,6.88,0.05,0.1,-0.0,0.99999,0.00061,0.00508,0.00032,0.037025709389655236,0.5821069443754512,0.07008962652514987
-0.76,0.17,6.88,0.05,0.1,0.01,0.99999,0.00065,0.0052,0.00032,0.03705797783896789,0.5958570537022164,0.07467794333810786
-0.8,0.15,6.89,0.04,0.11,0.01,0.99999,0.00068,0.00533,0.00032,0.03708603460240183,0.6107535331767326,0.07812068972326192
-0.81,0.12,6.85,0.03,0.11,0.0,0.99998,0.00071,0.00546,0.00032,0.03711536210768078,0.6256437968653628,0.0815642658501596
-0.82,0.08,6.84,0.03,0.1,-0.0,0.99998,0.00073,0.00559,0.00032,0.03713880414243743,0.6405405776393213,0.0838610975652954
-0.82,0.05,6.82,0.04,0.09,-0.01,0.99998,0.00075,0.00571,0.00031,0.03601600453590882,0.6542922936852404,0.08615101905771791
-0.83,0.03,6.82,0.04,0.08,-0.02,0.99998,0.00077,0.00583,0.0003,0.03489375300084737,0.6680440932638736,0.08844067421085211
-0.84,0.01,6.82,0.05,0.07,-0.02,0.99998,0.00079,0.00594,0.00029,0.03377114008895584,0.6806500034984153,0.09072972008981924
-0.83,0.0,6.82,0.05,0.06,-0.03,0.99998,0.00081,0.00605,0.00027,0.031503049730464985,0.6932569207819932,0.09301158916898508
-0.84,-0.02,6.84,0.05,0.05,-0.03,0.99998,0.00083,0.00615,0.00025,0.02923450365296321,0.7047179838164039,0.09529266400300214
-0.83,-0.03,6.83,0.04,0.05,-0.03,0.99998,0.00085,0.00625,0.00023,0.02696641108556458,0.7161791667308187,0.09757328784847458
-0.85,-0.02,6.84,0.04,0.04,-0.03,0.99998,0.00087,0.00635,0.00021,0.02469877190096257,0.7276404699847409,0.09985346083347026
-0.83,-0.03,6.84,0.03,0.04,-0.03,0.99998,0.00088,0.00645,0.00019,0.0224241946168172,0.7391021117797849,0.100987197845818
-0.82,-0.03,6.85,0.02,0.04,-0.02,0.99998,0.00089,0.00655,0.00018,0.021295827898277372,0.7505628090416274,0.10212798731150878
