a_x_int,a_y_int,a_z_int,w_x_int,w_y_int,w_z_int,q_w_int,q_x_int,q_y_int,q_z_int,a_x,a_y,a_z,w_x,w_y,w_z,q_w,q_x,q_y,q_z,psi,theta,phi,q_w_ref,q_x_ref,q_y_ref,q_z_ref,psi_ref,theta_ref,phi_ref
-127,277,250,-392,41,-284,16382,65275,82,65308,-0.00775146484375,0.01690673828125,0.0152587890625,-0.02392578125,0.00250244140625,-0.017333984375,0.9998779296875,-0.01593017578125,0.0050048828125,-0.013916015625,-1.6035160317886796,0.5480524910560554,-1.8331999715222347,1.000002741814,0.00207048119,0.000867085997,-0.000217345223,-0.024700048577132837,0.09941262577016965,0.237237249914273
-125,270,251,-425,36,-305,16381,65237,87,65279,-0.00762939453125,0.0164794921875,0.01531982421875,-0.02593994140625,0.002197265625,-0.01861572265625,0.99981689453125,-0.01824951171875,0.00531005859375,-0.01568603515625,-1.8082181338710601,0.5755828922726802,-2.100471901421322,1.00000333786,0.002237299923,0.000965684478,-0.000245247211,-0.027855476110065468,0.11072260356337427,0.25634748802489515
-123,268,253,-458,28,-325,16380,65196,91,65248,-0.00750732421875,0.016357421875,0.01544189453125,-0.0279541015625,0.001708984375,-0.01983642578125,0.999755859375,-0.020751953125,0.00555419921875,-0.017578125,-2.026980690099476,0.5945188714646559,-2.388752365916598,1.000003933907,0.002401413163,0.001062865369,-0.000274968363,-0.031216305190436812,0.12187163695510432,0.27514686769763685
-121,268,254,-502,18,-351,16378,65151,94,65215,-0.00738525390625,0.016357421875,0.0155029296875,-0.0306396484375,0.0010986328125,-0.02142333984375,0.9996337890625,-0.02349853515625,0.0057373046875,-0.01959228515625,-2.259914270143716,0.6044603290966989,-2.705143924925654,1.000004649162,0.002562081441,0.001157848979,-0.000307055132,-0.034845646581613474,0.13277060450405476,0.29355052637212825
-122,266,254,-530,10,-366,16376,65103,97,65180,-0.0074462890625,0.0162353515625,0.0155029296875,-0.0323486328125,0.0006103515625,-0.0223388671875,0.99951171875,-0.02642822265625,0.00592041015625,-0.021728515625,-2.506986640359728,0.6123056705205608,-3.0426198451966084,1.000005364418,0.002719628625,0.001253326307,-0.000340508617,-0.0386283870188936,0.14372765498050977,0.3115955948581171
-121,265,254,-550,3,-379,16374,65053,99,65144,-0.00738525390625,0.01617431640625,0.0155029296875,-0.0335693359375,0.00018310546875,-0.02313232421875,0.9993896484375,-0.02947998046875,0.00604248046875,-0.02392578125,-2.7609457837190323,0.6111811865351471,-3.393965015129722,1.000006198883,0.002875506645,0.001347808749,-0.00037514104,-0.0425433445134017,0.15457226298758972,0.3294484533543481
-120,260,253,-561,-8,-389,16371,65002,100,65107,-0.00732421875,0.015869140625,0.01544189453125,-0.03424072265625,-0.00048828125,-0.02374267578125,0.99920654296875,-0.0325927734375,0.006103515625,-0.02618408203125,-3.021856067856751,0.6010736485178613,-3.7523490987796264,1.000007033348,0.003029991873,0.001442123903,-0.00041068389,-0.04655952826277395,0.16539921254014564,0.34714078653581
-116,255,256,-563,-18,-397,16368,64951,100,65069,-0.007080078125,0.01556396484375,0.015625,-0.03436279296875,-0.0010986328125,-0.02423095703125,0.9990234375,-0.03570556640625,0.006103515625,-0.02850341796875,-3.289443852023184,0.5821150209113363,-4.110525498549339,1.000007987022,0.0031848168,0.001534379786,-0.00044694799,-0.0506556925481659,0.17599176795968852,0.36487117782762973
-115,250,259,-558,-26,-394,16365,64900,99,65032,-0.00701904296875,0.0152587890625,0.01580810546875,-0.0340576171875,-0.0015869140625,-0.0240478515625,0.99884033203125,-0.038818359375,0.00604248046875,-0.03076171875,-3.5496515050828954,0.5547869425752255,-4.468368809589705,1.000008940697,0.00333970366,0.001626768848,-0.000482934876,-0.054716739905716405,0.18660079507913505,0.3826079067710577
-115,244,266,-545,-33,-389,16362,64851,97,64995,-0.00701904296875,0.014892578125,0.0162353515625,-0.03326416015625,-0.00201416015625,-0.02374267578125,0.9986572265625,-0.04180908203125,0.00592041015625,-0.03302001953125,-3.8093395102395426,0.5193273109604992,-4.811876935973374,1.000009894371,0.003494890174,0.001720430912,-0.000518467219,-0.05872183790088446,0.19735683961165487,0.4003781896615232
-117,240,271,-527,-41,-379,16359,64803,95,64959,-0.00714111328125,0.0146484375,0.01654052734375,-0.03216552734375,-0.00250244140625,-0.02313232421875,0.99847412109375,-0.04473876953125,0.00579833984375,-0.03521728515625,-4.061800250596417,0.4828847229223314,-5.1482076658335245,1.000010967255,0.003650430823,0.001816061325,-0.000553092745,-0.06261877383146734,0.2083394034027048,0.41818827030451083
-125,232,282,-497,-49,-361,16355,64758,92,64925,-0.00762939453125,0.01416015625,0.0172119140625,-0.03033447265625,-0.00299072265625,-0.02203369140625,0.99822998046875,-0.0474853515625,0.005615234375,-0.03729248046875,-4.299953557915379,0.43939976788452056,-5.4634564903044875,1.000012040138,0.003804490669,0.001919207512,-0.000586107722,-0.06632478406748415,0.22018369176891833,0.4358277292657833
-131,226,292,-474,-56,-348,16351,64715,88,64892,-0.00799560546875,0.0137939453125,0.017822265625,-0.0289306640625,-0.00341796875,-0.021240234375,0.99798583984375,-0.05010986328125,0.00537109375,-0.039306640625,-4.530528259486792,0.38853999638053216,-5.764296871382194,1.000013113022,0.00395718636,0.002027919749,-0.000617961341,-0.06989185324645007,0.23266639314590618,0.45330993948805465
-138,221,307,-453,-61,-335,16348,64674,84,64861,-0.0084228515625,0.01348876953125,0.01873779296875,-0.02764892578125,-0.00372314453125,-0.02044677734375,0.997802734375,-0.0526123046875,0.005126953125,-0.04119873046875,-4.746589862359172,0.33783250538265247,-6.050612290437679,1.000014305115,0.004107923713,0.002142618643,-0.000648655987,-0.07331995443837729,0.24583562129319902,0.4705667139718347
-145,217,321,-435,-67,-323,16344,64635,79,64831,-0.00885009765625,0.01324462890625,0.01959228515625,-0.02655029296875,-0.00408935546875,-0.01971435546875,0.99755859375,-0.05499267578125,0.00482177734375,-0.04302978515625,-4.955322077968717,0.2800264910612803,-6.322848067309604,1.000015497208,0.004256466869,0.002262706403,-0.000678282639,-0.07661964173424766,0.2596227968775599,0.48757108719668424
-157,211,340,-417,-69,-307,16340,64597,74,64802,-0.00958251953125,0.01287841796875,0.020751953125,-0.02545166015625,-0.00421142578125,-0.01873779296875,0.997314453125,-0.05731201171875,0.0045166015625,-0.0447998046875,-5.156820179958641,0.22195352861821455,-6.587918528763044,1.000016689301,0.004399950616,0.002392098075,-0.000706496823,-0.07975007313045122,0.274476086077468,0.5039945217361717
-166,205,356,-410,-67,-297,16336,64560,70,64774,-0.0101318359375,0.01251220703125,0.021728515625,-0.0250244140625,-0.00408935546875,-0.01812744140625,0.9970703125,-0.0595703125,0.0042724609375,-0.0465087890625,-5.351512802301495,0.17067301938525153,-6.846161282445941,1.000018000603,0.004538289271,0.002529100282,-0.000733834691,-0.08277334896565931,0.29020163233741875,0.5198271021509224
-177,200,372,-404,-64,-289,16332,64524,66,64747,-0.01080322265625,0.01220703125,0.022705078125,-0.024658203125,-0.00390625,-0.01763916015625,0.996826171875,-0.061767578125,0.0040283203125,-0.04815673828125,-5.539024316017499,0.11929104758562498,-7.09728401441096,1.000019311905,0.004670650233,0.002674052259,-0.00076048309,-0.08571084557717643,0.3068382251178183,0.534973374172868
-188,193,386,-404,-61,-282,16328,64488,62,64721,-0.011474609375,0.01177978515625,0.0235595703125,-0.024658203125,-0.00372314453125,-0.0172119140625,0.99658203125,-0.06396484375,0.0037841796875,-0.04974365234375,-5.719347651082597,0.0675403412497044,-7.348269850207678,1.000020623207,0.004795498215,0.00282732374,-0.000786537828,-0.08857377552664628,0.3244280716467812,0.5492573221682665
-201,181,402,-412,-56,-271,16324,64451,59,64695,-0.01226806640625,0.01104736328125,0.0245361328125,-0.025146484375,-0.00341796875,-0.01654052734375,0.996337890625,-0.06622314453125,0.00360107421875,-0.05133056640625,-5.89989177920813,0.021613707254297187,-7.606433519278425,1.000022053719,0.004908700939,0.002991467714,-0.000811652106,-0.09132241525977203,0.3432631133353709,0.5622052319140209
-209,170,410,-422,-51,-266,16320,64413,57,64670,-0.01275634765625,0.0103759765625,0.0250244140625,-0.0257568359375,-0.00311279296875,-0.0162353515625,0.99609375,-0.06854248046875,0.00347900390625,-0.0528564453125,-6.073715321577479,-0.0180479214065717,-7.871823250475444,1.00002348423,0.005012149923,0.003163563553,-0.00083635567,-0.09401870233233148,0.36300898259887576,0.5740339631258384
-207,158,418,-435,-46,-259,16316,64374,55,64646,-0.01263427734375,0.0096435546875,0.0255126953125,-0.02655029296875,-0.0028076171875,-0.01580810546875,0.995849609375,-0.0709228515625,0.00335693359375,-0.0543212890625,-6.240356953381768,-0.05839812751475146,-8.144091390727334,1.000024914742,0.005108739715,0.003340533469,-0.000860440079,-0.09663973728034554,0.3833130522986883,0.5850755344572
-208,142,424,-458,-41,-253,16311,64333,54,64622,-0.0126953125,0.0086669921875,0.02587890625,-0.0279541015625,-0.00250244140625,-0.01544189453125,0.99554443359375,-0.07342529296875,0.0032958984375,-0.0557861328125,-6.407636366898806,-0.09338068012550763,-8.431071658833863,1.000026345253,0.005193218589,0.003525088774,-0.000884022389,-0.09919970448519726,0.4044855009983947,0.5947278631914352
-184,129,422,-474,-36,-251,16306,64290,54,64598,-0.01123046875,0.00787353515625,0.0257568359375,-0.0289306640625,-0.002197265625,-0.01531982421875,0.9952392578125,-0.0760498046875,0.0032958984375,-0.0572509765625,-6.5752059161513605,-0.12303912227418254,-8.73229829086246,1.000027894974,0.005278463475,0.003708583303,-0.000907383452,-0.10173104980645321,0.4255369558314184,0.6044671254488448
-159,119,420,-494,-28,-251,16301,64246,54,64574,-0.00970458984375,0.00726318359375,0.025634765625,-0.0301513671875,-0.001708984375,-0.01531982421875,0.99493408203125,-0.0787353515625,0.0032958984375,-0.0587158203125,-6.742582373809109,-0.15398936154425685,-9.040411385722644,1.000029444695,0.005367582664,0.003888745327,-0.000930675946,-0.10425126843475091,0.4462074609694786,0.6146497454520389
