a_x_int,a_y_int,a_z_int,w_x_int,w_y_int,w_z_int,q_w_int,q_x_int,q_y_int,q_z_int,a_x,a_y,a_z,w_x,w_y,w_z,q_w,q_x,q_y,q_z,psi,theta,phi,q_w_ref,q_x_ref,q_y_ref,q_z_ref,psi_ref,theta_ref,phi_ref,psi_err,theta_err,phi_err
-116,255,256,-563,-18,-397,16368,64951,100,65069,-1.8125,3.984375,4.0,-2.19921875,-0.0703125,-1.55078125,0.9990234375,-0.03570556640625,0.006103515625,-0.02850341796875,-3.289443852023184,0.5821150209113363,-4.110525498549339,0.998925447464,-0.035439923406,0.005959956441,-0.028451688588,-3.283134957097095,0.5666904525676038,-4.080021657466676,0.006308894926088993,0.015424568343732514,0.030503841082662575
-115,250,259,-558,-26,-394,16365,64900,99,65032,-1.796875,3.90625,4.046875,-2.1796875,-0.1015625,-1.5390625,0.99884033203125,-0.038818359375,0.00604248046875,-0.03076171875,-3.5496515050828954,0.5547869425752255,-4.468368809589705,0.998737692833,-0.038512639701,0.005900513381,-0.030728559941,-3.545463636924961,0.5396914997057494,-4.433317573385754,0.004187868157934371,0.015095442869476172,0.035051236203951674
-115,244,266,-545,-33,-389,16362,64851,97,64995,-1.796875,3.8125,4.15625,-2.12890625,-0.12890625,-1.51953125,0.9986572265625,-0.04180908203125,0.00592041015625,-0.03302001953125,-3.8093395102395426,0.5193273109604992,-4.811876935973374,0.998538017273,-0.041510242969,0.005799910985,-0.032974034548,-3.803848555882397,0.5068074230973908,-4.777777599609066,0.00549095435714575,0.012519887863108425,0.034099336364308286
-117,240,271,-527,-41,-379,16359,64803,95,64959,-1.828125,3.75,4.234375,-2.05859375,-0.16015625,-1.48046875,0.99847412109375,-0.04473876953125,0.00579833984375,-0.03521728515625,-4.061800250596417,0.4828847229223314,-5.1482076658335245,0.99832957983,-0.044403929263,0.005653341766,-0.035158630461,-4.05483535436707,0.46785010167357144,-5.110035832312628,0.006964896229347595,0.015034621248759983,0.038171833520896925
-125,232,282,-497,-49,-361,16355,64758,92,64925,-1.953125,3.625,4.40625,-1.94140625,-0.19140625,-1.41015625,0.99822998046875,-0.0474853515625,0.005615234375,-0.03729248046875,-4.299953557915379,0.43939976788452056,-5.4634564903044875,0.998118638992,-0.04712549597,0.005465417169,-0.037235617638,-4.293030761672728,0.42403707761107795,-5.422243492914801,0.006922796242650797,0.015362690273442614,0.0412129973896862
-131,226,292,-474,-56,-348,16351,64715,88,64892,-2.046875,3.53125,4.5625,-1.8515625,-0.21875,-1.359375,0.99798583984375,-0.05010986328125,0.00537109375,-0.039306640625,-4.530528259486792,0.38853999638053216,-5.764296871382194,0.99790430069,-0.04971537739,0.005240155384,-0.039234247059,-4.521805301451726,0.3757058087538666,-5.719045993768534,0.008722958035066064,0.01283418762666555,0.0452508776136602
-138,221,307,-453,-61,-335,16348,64674,84,64861,-2.15625,3.453125,4.796875,-1.76953125,-0.23828125,-1.30859375,0.997802734375,-0.0526123046875,0.005126953125,-0.04119873046875,-4.746589862359172,0.33783250538265247,-6.050612290437679,0.997687458992,-0.052185121924,0.004989726003,-0.041154928505,-4.741267193345183,0.3243545262883688,-6.001808567950356,0.005322669013988701,0.013477979094283665,0.048803722487323675
-145,217,321,-435,-67,-323,16344,64635,79,64831,-2.265625,3.390625,5.015625,-1.69921875,-0.26171875,-1.26171875,0.99755859375,-0.05499267578125,0.00482177734375,-0.04302978515625,-4.955322077968717,0.2800264910612803,-6.322848067309604,0.997468411922,-0.054552588612,0.004708239809,-0.043003059924,-4.951997951453607,0.2693361039803966,-6.272543495121607,0.0033241265151096044,0.010690387080883712,0.05030457218799711
-157,211,340,-417,-69,-307,16340,64597,74,64802,-2.453125,3.296875,5.3125,-1.62890625,-0.26953125,-1.19921875,0.997314453125,-0.05731201171875,0.0045166015625,-0.0447998046875,-5.156820179958641,0.22195352861821455,-6.587918528763044,0.997249364853,-0.056818716228,0.00442358572,-0.044756293297,-5.151610600575544,0.21410599378013617,-6.531487173971019,0.005209579383096852,0.007847534838078374,0.05643135479202499
-166,205,356,-410,-67,-297,16336,64560,70,64774,-2.59375,3.203125,5.5625,-1.6015625,-0.26171875,-1.16015625,0.9970703125,-0.0595703125,0.0042724609375,-0.0465087890625,-5.351512802301495,0.17067301938525153,-6.846161282445941,0.997026145458,-0.05904622376,0.004158148542,-0.046450786293,-5.3444217833060605,0.1607766708160308,-6.785969245189316,0.007091018995434517,0.009896348569220725,0.06019203725662514
-177,200,372,-404,-64,-289,16332,64524,66,64747,-2.765625,3.125,5.8125,-1.578125,-0.25,-1.12890625,0.996826171875,-0.061767578125,0.0040283203125,-0.04815673828125,-5.539024316017499,0.11929104758562498,-7.09728401441096,0.99679851532,-0.061241243035,0.003917808179,-0.048098515719,-5.5318641382409055,0.10996814193697975,-7.036745188904742,0.0071601777765932795,0.009322905648645227,0.060538825506217364
-188,193,386,-404,-61,-282,16328,64488,62,64721,-2.9375,3.015625,6.03125,-1.578125,-0.23828125,-1.1015625,0.99658203125,-0.06396484375,0.0037841796875,-0.04974365234375,-5.719347651082597,0.0675403412497044,-7.348269850207678,0.996564626694,-0.063439443707,0.003704379546,-0.049705155194,-5.714623952654642,0.061694528747218515,-7.287935361529704,0.004723698427954837,0.005845812502485885,0.06033448867797375
-201,181,402,-412,-56,-271,16324,64451,59,64695,-3.140625,2.828125,6.28125,-1.609375,-0.21875,-1.05859375,0.996337890625,-0.06622314453125,0.00360107421875,-0.05133056640625,-5.89989177920813,0.021613707254297187,-7.606433519278425,0.996322929859,-0.065688967705,0.003535726573,-0.051247775555,-5.89022758362385,0.01791203434810306,-7.545185167986976,0.009664195584280222,0.0037016729061941263,0.061248351291448344
-209,170,410,-422,-51,-266,16320,64413,57,64670,-3.265625,2.65625,6.40625,-1.6484375,-0.19921875,-1.0390625,0.99609375,-0.06854248046875,0.00347900390625,-0.0528564453125,-6.073715321577479,-0.0180479214065717,-7.871823250475444,0.996070861816,-0.068000100553,0.003407774726,-0.052761502564,-6.062691433532825,-0.022162279819640095,-7.809681663477703,0.011023888044654484,0.004114358413068394,0.06214158699774064
