a_x_int,a_y_int,a_z_int,w_x_int,w_y_int,w_z_int,q_w_int,q_x_int,q_y_int,q_z_int,a_x,a_y,a_z,w_x,w_y,w_z,q_w,q_x,q_y,q_z,psi,theta,phi,q_w_ref,q_x_ref,q_y_ref,q_z_ref,psi_ref,theta_ref,phi_ref,psi_err,theta_err,phi_err
-72,330,196,-225,92,-172,16384,65518,10,65519,-1.125,5.15625,3.0625,-0.87890625,0.359375,-0.671875,1.0,-0.0010986328125,0.0006103515625,-0.00103759765625,-0.11897663050014616,0.06981052700599161,-0.1259664779372599,1.0,-0.001096845488,0.000587392773,-0.001007812447,-0.11556048997578784,0.06718359783928822,-0.1257569356034201,0.0034161405243583187,0.0026269291667033873,0.00020954233383979615
-76,329,198,-228,82,-184,16384,65500,19,65501,-1.1875,5.140625,3.09375,-0.890625,0.3203125,-0.71875,1.0,-0.002197265625,0.00115966796875,-0.00213623046875,-0.24508474040710346,0.1323504007953582,-0.25207075265389967,0.999996960163,-0.002211924875,0.00111862109,-0.00208549411,-0.23926306275295306,0.12765564476305877,-0.2537348167287172,0.005821677654150398,0.004694756032299435,0.0016640640748175617
-83,326,202,-233,77,-189,16384,65481,27,65483,-1.296875,5.09375,3.15625,-0.91015625,0.30078125,-0.73828125,1.0,-0.00335693359375,0.00164794921875,-0.00323486328125,-0.37131746470600463,0.18759703026544128,-0.3852826780944457,0.999990701675,-0.003357514273,0.001625242177,-0.003192014759,-0.36640223658328047,0.1850095199697277,-0.3853364870523838,0.004915228122724158,0.00258751029571358,5.380895793810625e-05
-94,321,207,-238,72,-192,16384,65462,35,65465,-1.46875,5.015625,3.234375,-0.9296875,0.28125,-0.75,1.0,-0.0045166015625,0.00213623046875,-0.00433349609375,-0.49767665831893587,0.24255184094857396,-0.518614271648181,0.999981105328,-0.004534533247,0.002110138768,-0.004315588623,-0.49562476680859635,0.23955775748742983,-0.5206616140549405,0.0020518915103395208,0.0029940834611441314,0.0020473424067595225
-103,317,212,-248,67,-197,16384,65442,43,65446,-1.609375,4.953125,3.3125,-0.96875,0.26171875,-0.76953125,1.0,-0.0057373046875,0.00262451171875,-0.0054931640625,-0.6311727946974813,0.2971367589116683,-0.6590760166519072,0.999967873096,-0.005772151519,0.002571948338,-0.00546780834,-0.6282629364020905,0.29109872729318276,-0.6630497424158266,0.0029098582953908103,0.00603803161848554,0.003973725763919411
-112,310,217,-266,61,-205,16384,65420,50,65426,-1.75,4.84375,3.390625,-1.0390625,0.23828125,-0.80078125,1.0,-0.007080078125,0.0030517578125,-0.0067138671875,-0.7717850585249292,0.34426068104633567,-0.8136220625171331,0.999950349331,-0.007117752917,0.00300559937,-0.006666008849,-0.7663144431754876,0.3389641682257982,-0.817927929888805,0.005470615349441599,0.005296512820537447,0.004305867371671934
-116,306,221,-282,56,-215,16384,65396,57,65405,-1.8125,4.78125,3.453125,-1.1015625,0.21875,-0.83984375,1.0,-0.008544921875,0.00347900390625,-0.00799560546875,-0.9195592659992011,0.390838408196724,-0.9822880494199193,0.999927937984,-0.008558531292,0.00341319479,-0.007921881042,-0.9111182916777276,0.38332871726719214,-0.9838300868265774,0.008440974321473504,0.007509690929531854,0.0015420374066580367
-121,302,229,-302,54,-228,16384,65370,64,65383,-1.890625,4.71875,3.578125,-1.1796875,0.2109375,-0.890625,1.0,-0.0101318359375,0.00390625,-0.00933837890625,-1.074508452560561,0.4367854365580537,-1.165078124079587,0.999899566174,-0.010118157603,0.003812954994,-0.009252963588,-1.0647149263547593,0.4261641048211604,-1.1634921204141155,0.009793526205801761,0.01062133173689328,0.0015860036654715692
-124,298,236,-325,51,-243,16384,65342,70,65360,-1.9375,4.65625,3.6875,-1.26953125,0.19921875,-0.94921875,1.0,-0.0118408203125,0.0042724609375,-0.0107421875,-1.2365610008056835,0.475017777679958,-1.3619194084664068,0.999864161015,-0.011813925579,0.004197890405,-0.010670750402,-1.2284304012294016,0.466536809732608,-1.3588986018580627,0.008130599576281927,0.008480967947349982,0.00302080660834414
-125,287,244,-361,46,-266,16383,65310,76,65335,-1.953125,4.484375,3.8125,-1.41015625,0.1796875,-1.0390625,0.99993896484375,-0.0137939453125,0.004638671875,-0.01226806640625,-1.4129234934032897,0.5121352572921113,-1.5869794368084131,0.999819278717,-0.013722605072,0.004557120614,-0.012221521698,-1.4075961548664686,0.5029013608910896,-1.5788580006227668,0.005327338536821102,0.00923389640102168,0.008121436185646314
-127,277,250,-392,41,-284,16382,65275,82,65308,-1.984375,4.328125,3.90625,-1.53125,0.16015625,-1.109375,0.9998779296875,-0.01593017578125,0.0050048828125,-0.013916015625,-1.6035160317886796,0.5480524910560554,-1.8331999715222347,0.999763846397,-0.015815081075,0.004891239107,-0.013875914738,-1.5988377772389006,0.5352231654984971,-1.8200199730163515,0.004678254549778993,0.012829325557558224,0.01317999850588314
-125,270,251,-425,36,-305,16381,65237,87,65279,-1.953125,4.21875,3.921875,-1.66015625,0.140625,-1.19140625,0.99981689453125,-0.01824951171875,0.00531005859375,-0.01568603515625,-1.8082181338710601,0.5755828922726802,-2.100471901421322,0.999695718288,-0.01810188964,0.005197043531,-0.015651294962,-1.8041419957006624,0.5628993115959346,-2.0835916232469027,0.004076138170397758,0.012683580676745576,0.01688027817441906
-123,268,253,-458,28,-325,16380,65196,91,65248,-1.921875,4.1875,3.953125,-1.7890625,0.109375,-1.26953125,0.999755859375,-0.020751953125,0.00555419921875,-0.017578125,-2.026980690099476,0.5945188714646559,-2.388752365916598,0.999613106251,-0.020582718775,0.005455697887,-0.017541317269,-2.0227274091089544,0.5835720860168325,-2.3694876258875412,0.0042532809905213576,0.010946785447823348,0.01926474002905687
-121,268,254,-502,18,-351,16378,65151,94,65215,-1.890625,4.1875,3.96875,-1.9609375,0.0703125,-1.37109375,0.9996337890625,-0.02349853515625,0.0057373046875,-0.01959228515625,-2.259914270143716,0.6044603290966989,-2.705143924925654,0.999512016773,-0.023322232068,0.005655404646,-0.019580319524,-2.258502530817578,0.5954270998400263,-2.6850877963758446,0.0014117393261381395,0.009033229256672604,0.020056128549809316
-122,266,254,-530,10,-366,16376,65103,97,65180,-1.90625,4.15625,3.96875,-2.0703125,0.0390625,-1.4296875,0.99951171875,-0.02642822265625,0.00592041015625,-0.021728515625,-2.506986640359728,0.6123056705205608,-3.0426198451966084,0.999392807484,-0.026227191091,0.00581010757,-0.021704340354,-2.5040735871672557,0.6001654536257461,-3.0196680128822386,0.002913053192472148,0.012140216894814704,0.022951832314369813
-121,265,254,-550,3,-379,16374,65053,99,65144,-1.890625,4.140625,3.96875,-2.1484375,0.01171875,-1.48046875,0.9993896484375,-0.02947998046875,0.00604248046875,-0.02392578125,-2.7609457837190323,0.6111811865351471,-3.393965015129722,0.999254882336,-0.029249954969,0.005923484452,-0.023901890963,-2.7580601744802413,0.598172103595027,-3.367740237054005,0.002885609238790998,0.013009082940120043,0.026224778075717214
-120,260,253,-561,-8,-389,16371,65002,100,65107,-1.875,4.0625,3.953125,-2.19140625,-0.03125,-1.51953125,0.99920654296875,-0.0325927734375,0.006103515625,-0.02618408203125,-3.021856067856751,0.6010736485178613,-3.7523490987796264,0.999098777771,-0.032338745892,0.005972509738,-0.026154804975,-3.0182142687562625,0.5868695701133095,-3.7232572817601417,0.003641799100488452,0.014204078404551734,0.02909181701948471
