q_w_int,q_x_int,q_y_int,q_z_int,q_w_fixed,q_x_fixed,q_y_fixed,q_z_fixed
16210,63591,130,64345,0.9893798828125,-0.11871337890625,0.0079345703125,-0.07269287109375
16213,63616,132,64346,0.98956298828125,-0.1171875,0.008056640625,-0.0726318359375
16215,63640,134,64347,0.98968505859375,-0.11572265625,0.0081787109375,-0.07257080078125
16217,63658,138,64349,0.98980712890625,-0.1146240234375,0.0084228515625,-0.07244873046875
16218,63665,147,64353,0.9898681640625,-0.11419677734375,0.00897216796875,-0.07220458984375
16217,63661,163,64360,0.98980712890625,-0.11444091796875,0.00994873046875,-0.07177734375
16217,63660,185,64371,0.98980712890625,-0.114501953125,0.01129150390625,-0.07110595703125
16218,63666,216,64387,0.9898681640625,-0.1141357421875,0.01318359375,-0.07012939453125
16221,63690,260,64409,0.99005126953125,-0.1126708984375,0.015869140625,-0.06878662109375
16227,63740,310,64435,0.99041748046875,-0.109619140625,0.0189208984375,-0.06719970703125
16237,63828,360,64463,0.99102783203125,-0.104248046875,0.02197265625,-0.06549072265625
16248,63940,408,64489,0.99169921875,-0.097412109375,0.02490234375,-0.06390380859375
16259,64056,443,64511,0.99237060546875,-0.09033203125,0.02703857421875,-0.06256103515625
16269,64155,473,64529,0.99298095703125,-0.08428955078125,0.02886962890625,-0.06146240234375
16275,64221,493,64543,0.99334716796875,-0.08026123046875,0.03009033203125,-0.06060791015625
16277,64248,505,64554,0.99346923828125,-0.07861328125,0.03082275390625,-0.0599365234375
16277,64242,510,64562,0.99346923828125,-0.0789794921875,0.0311279296875,-0.0594482421875
16275,64208,508,64565,0.99334716796875,-0.0810546875,0.031005859375,-0.05926513671875
16272,64168,503,64564,0.9931640625,-0.08349609375,0.03070068359375,-0.059326171875
16269,64132,499,64559,0.99298095703125,-0.085693359375,0.03045654296875,-0.05963134765625
16266,64105,497,64552,0.9927978515625,-0.08734130859375,0.03033447265625,-0.06005859375
16264,64093,500,64545,0.99267578125,-0.08807373046875,0.030517578125,-0.06048583984375
16263,64091,508,64539,0.99261474609375,-0.08819580078125,0.031005859375,-0.06085205078125
16263,64097,519,64535,0.99261474609375,-0.08782958984375,0.03167724609375,-0.06109619140625
16264,64110,533,64532,0.99267578125,-0.0870361328125,0.03253173828125,-0.061279296875
16265,64129,550,64531,0.99273681640625,-0.08587646484375,0.0335693359375,-0.06134033203125
16267,64152,568,64531,0.99285888671875,-0.08447265625,0.03466796875,-0.06134033203125
16269,64178,587,64534,0.99298095703125,-0.0828857421875,0.03582763671875,-0.0611572265625
16271,64208,605,64538,0.99310302734375,-0.0810546875,0.03692626953125,-0.0609130859375
16273,64241,621,64543,0.99322509765625,-0.07904052734375,0.03790283203125,-0.06060791015625
16276,64276,635,64549,0.993408203125,-0.076904296875,0.03875732421875,-0.06024169921875
16279,64313,647,64554,0.99359130859375,-0.07464599609375,0.03948974609375,-0.0599365234375
16282,64350,658,64558,0.9937744140625,-0.0723876953125,0.0401611328125,-0.0596923828125
16284,64386,668,64561,0.993896484375,-0.0701904296875,0.040771484375,-0.05950927734375
16286,64420,676,64561,0.9940185546875,-0.068115234375,0.041259765625,-0.05950927734375
16288,64450,683,64559,0.994140625,-0.0662841796875,0.04168701171875,-0.05963134765625
16289,64475,688,64556,0.99420166015625,-0.06475830078125,0.0419921875,-0.059814453125
16290,64495,692,64552,0.9942626953125,-0.06353759765625,0.042236328125,-0.06005859375
16290,64508,695,64548,0.9942626953125,-0.062744140625,0.04241943359375,-0.060302734375
16290,64512,699,64545,0.9942626953125,-0.0625,0.04266357421875,-0.06048583984375
16290,64512,703,64543,0.9942626953125,-0.0625,0.04290771484375,-0.06060791015625
16290,64510,708,64541,0.9942626953125,-0.0626220703125,0.043212890625,-0.06072998046875
