a_x_int,a_y_int,a_z_int,w_x_int,w_y_int,w_z_int,q_w_int,q_x_int,q_y_int,q_z_int,a_x,a_y,a_z,w_x,w_y,w_z,q_w,q_x,q_y,q_z,psi,theta,phi,q_w_ref,q_x_ref,q_y_ref,q_z_ref,psi_ref,theta_ref,phi_ref,psi_err,theta_err,phi_err,q_w_err,q_x_err,q_y_err,q_z_err
-2,0,27,2,-27,13,16384,38,65511,21,-0.03125,0.0,0.421875,0.0078125,-0.10546875,0.05078125,1.0,0.0023193359375,-0.00152587890625,0.00128173828125,0.1464703201077392,-0.17519377143505638,0.26555191447222115,0.999998748302,0.002287781099,-0.001660135342,0.001300911303,0.148637967917289,-0.19057865776522603,0.2619130733543751,0.002167647809549811,0.015384886330169656,0.00363884111784607,1.2516980000265576e-06,3.1554838499999946e-05,0.00013425643575000002,1.9173021749999955e-05
-3,1,82,-11,1,14,16384,38,65515,22,-0.046875,0.015625,1.28125,-0.04296875,0.00390625,0.0546875,1.0,0.0023193359375,-0.00128173828125,0.0013427734375,0.15352918164136964,-0.1472334273362263,0.2655785833451635,0.999998509884,0.002265433548,-0.001431794721,0.001382268732,0.15802428481962422,-0.1644304068661309,0.25937275279678,0.004495103178254578,0.017196979529904594,0.006205830548383473,1.4901160000357905e-06,5.3902389500000165e-05,0.00015005643975000006,3.9495294499999976e-05
-2,1,126,-33,-18,11,16384,37,65516,23,-0.03125,0.015625,1.96875,-0.12890625,-0.0703125,0.04296875,1.0,0.00225830078125,-0.001220703125,0.00140380859375,0.1605480357296135,-0.14024569493474817,0.2585852781490899,0.999998509884,0.002112397226,-0.001314557274,0.001445642556,0.16533990917586353,-0.15098705415916888,0.24184503932396814,0.004791873446250039,0.01074135922442071,0.01674023882512174,1.4901160000357905e-06,0.0001459035552499998,9.385414900000004e-05,4.183396224999997e-05
-6,-1,162,-26,-29,14,16384,34,65517,24,-0.09375,-0.015625,2.53125,-0.1015625,-0.11328125,0.0546875,1.0,0.0020751953125,-0.00115966796875,0.00146484375,0.1675823455529656,-0.13323662022040944,0.23760467660310097,0.999998092651,0.001902413554,-0.001265633735,0.001526726759,0.17467393694468233,-0.14536364942025864,0.21777910803402759,0.007091591391716723,0.012127029199849204,0.019825568569073387,1.9073489999632542e-06,0.0001727817584999999,0.00010596576625000005,6.188300899999995e-05
-6,-1,202,-22,-30,-5,16384,31,65518,24,-0.09375,-0.015625,3.15625,-0.0859375,-0.1171875,-0.01953125,1.0,0.00189208984375,-0.0010986328125,0.00146484375,0.1676200099011127,-0.12621175264917528,0.21663264978064006,0.999997794628,0.00171408453,-0.001222840277,0.001496591256,0.1712565390761635,-0.14042096520469513,0.19621000115773568,0.0036365291750508066,0.014209212555519851,0.020422648622904382,2.2053720000192456e-06,0.0001780053137499999,0.00012420746449999997,3.1747506000000085e-05
-7,-1,234,-24,-8,4,16384,28,65521,24,-0.109375,-0.015625,3.65625,-0.09375,-0.03125,0.015625,1.0,0.001708984375,-0.00091552734375,0.00146484375,0.16767896848757854,-0.10519863270282596,0.19568105945104863,0.99999755621,0.001520708902,-0.001049473416,0.001519462443,0.17393476977964348,-0.12052537202998172,0.1740777538671374,0.006255801292064933,0.015326739327155753,0.021603305583911242,2.4437900000284785e-06,0.00018827547299999996,0.00013394607225000006,5.4618693000000034e-05
-8,2,268,-33,-15,15,16384,25,65523,25,-0.125,0.03125,4.1875,-0.12890625,-0.05859375,0.05859375,1.0,0.00152587890625,-0.00079345703125,0.00152587890625,0.17471367300875615,-0.09119032099468236,0.17471367300875615,0.999997437,0.001358145964,-0.000913162366,0.001606642152,0.18396563954502385,-0.10489053459160062,0.15546397483990163,0.009251966536267697,0.013700213596918268,0.019249698168854523,2.563000000010973e-06,0.0001677329422499999,0.00011970533474999997,8.076324574999997e-05
-5,6,302,-38,-14,17,16384,24,65525,27,-0.078125,0.09375,4.71875,-0.1484375,-0.0546875,0.06640625,1.0,0.00146484375,-0.00067138671875,0.00164794921875,0.18872788212773714,-0.07721189684226913,0.16773144450290672,0.99999755621,0.001289929147,-0.000829658413,0.001705570146,0.19532140413500002,-0.09532377148179508,0.14765279165426004,0.006593522007262875,0.018111874639525946,0.020078652848646683,2.4437900000284785e-06,0.00017491460299999995,0.00015827169425000002,5.762092725000007e-05
-4,6,335,5,8,-5,16384,27,65529,27,-0.0625,0.09375,5.234375,0.01953125,0.03125,-0.01953125,1.0,0.00164794921875,-0.00042724609375,0.00164794921875,0.1887597401091138,-0.04927000253698218,0.1887597401091138,0.999997675419,0.001488510519,-0.000631937815,0.001676023356,0.19195025761161885,-0.07270047114838213,0.1704492322426624,0.0031905175025050414,0.023430468611399947,0.018310507866451414,2.324581000023862e-06,0.00015943869974999994,0.00020469172124999995,2.8074137250000105e-05
-3,7,367,-2,14,11,16384,29,65533,28,-0.046875,0.109375,5.734375,-0.0078125,0.0546875,0.04296875,1.0,0.00177001953125,-0.00018310546875,0.001708984375,0.1957972475416042,-0.021328973723278816,0.20279264213801573,0.999997854233,0.001671983511,-0.000434980437,0.001740296721,0.1993396817105678,-0.05017841837357799,0.1915081411151619,0.0035424341689635763,0.028849444650299174,0.011284501022853832,2.145766999972487e-06,9.803602024999994e-05,0.00025187496825,3.1312346000000055e-05
