timestamp,a_x_int,a_y_int,a_z_int,w_x_int,w_y_int,w_z_int,q_w_int,q_x_int,q_y_int,q_z_int,a_x,a_y,a_z,w_x,w_y,w_z,q_w,q_x,q_y,q_z,psi,theta,phi,q_w_ref,q_x_ref,q_y_ref,q_z_ref,psi_ref,theta_ref,phi_ref,psi_err,theta_err,phi_err,q_w_err,q_x_err,q_y_err,q_z_err
1724242864.072812,-448.0,1563.0,3737.0,-49.0,-46.0,0.0,16829.0,3111.0,779.0,65418.0,-1.07296875,3.74341552734375,8.95018798828125,-0.013056661579804908,-0.012257274136143383,0.0,1.02716064453125,0.18988037109375,0.04754638671875,-0.0072021484375,0.17158799114874784,5.762817879540439,20.954760367986875,1.0,0.000568510499,0.000126345782,0.0,8.230983514487695e-06,0.014478160289838992,0.0651464984245629,0.17157976016523335,5.7483397192506,20.88961386956231,0.02716064453125,0.18931186059475,0.04742004093675,0.0072021484375
1724242864.0888038,-446.0,1560.0,3739.0,-51.0,-50.0,1.0,16829.0,3110.0,778.0,65418.0,-1.0681787109375,3.73623046875,8.954978027343751,-0.013589586542245922,-0.013323124061025416,0.0002664624812205083,1.02716064453125,0.1898193359375,0.0474853515625,-0.0072021484375,0.1700659561416593,5.755546727032356,20.94809641981443,1.000000476837,0.001134822029,0.000247787248,1.097671e-06,0.0001580060545382827,0.028394199014556813,0.1300409468405555,0.16990795008712103,5.7271525280177995,20.818055472973874,0.027160167694249893,0.1886845139085,0.0472375643145,0.0072032461085
1724242864.090706,-441.0,1560.0,3715.0,-46.0,-46.0,-2.0,15786.0,2920.0,732.0,65425.0,-1.05620361328125,3.73623046875,8.89749755859375,-0.012257274136143383,-0.012257274136143383,-0.0005329249624410166,0.9635009765625,0.17822265625,0.044677734375,-0.00677490234375,0.1716328125723482,5.077834658702053,20.967469735839135,1.000001311302,0.001707358402,0.000372063107,-1.286017e-06,-7.457276042720988e-05,0.04263560293753534,0.1956483866922369,0.1717073853327754,5.035199055764518,20.771821349146897,0.036500334739500095,0.176515297848,0.044305671268,0.00677361632675
1724242864.1048234,-434.0,1560.0,3738.0,-40.0,-46.0,-5.0,16777.0,3111.0,780.0,65418.0,-1.0394384765625,3.73623046875,8.9525830078125,-0.010658499248820334,-0.012257274136143383,-0.0013323124061025418,1.02398681640625,0.18988037109375,0.047607421875,-0.0072021484375,0.17626828391091373,5.752636061030049,21.018491309904416,1.000002503395,0.002287472831,0.000493828324,-7.151515e-06,-0.0006900536194720215,0.05659058299439654,0.2621236237688967,0.17695833753038576,5.696045478035653,20.75636768613552,0.023984313011250036,0.18759289826275,0.047113593551,0.0071949969225
1724242864.1063747,-436.0,1565.0,3736.0,-37.0,-45.0,-8.0,16777.0,3110.0,779.0,65418.0,-1.044228515625,3.7482055664062504,8.94779296875,-0.00985911180515881,-0.011990811654922873,-0.0021316998497640663,1.02398681640625,0.1898193359375,0.04754638671875,-0.0072021484375,0.1747367657431614,5.745387348911546,21.011807280388112,1.000004172325,0.002870926633,0.000617085781,-1.6503467e-05,-0.0016881272223120514,0.07071856406620693,0.3289806404796746,0.17642489296547345,5.6746687848453385,20.682826639908438,0.02398264408125006,0.1869484093045,0.04692930093775,0.0071856449705
1724242864.120738,-433.0,1556.0,3734.0,-34.0,-43.0,-8.0,16777.0,3109.0,778.0,65418.0,-1.0370434570312501,3.726650390625,8.9430029296875,-0.009059724361497283,-0.011457886692481857,-0.0021316998497640663,1.02398681640625,0.18975830078125,0.0474853515625,-0.0072021484375,0.173205987052015,5.73813872906066,21.005123318122113,1.000006198883,0.003457836341,0.000742561591,-2.5900452e-05,-0.0026736961738416036,0.0851021119134542,0.3962328361752165,0.17587968322585662,5.6530366171472055,20.608890481946897,0.02398061752324998,0.18630046444025,0.0467427899715,0.0071762479855
1724242864.122652,-438.0,1556.0,3739.0,-38.0,-40.0,-8.0,16777.0,3108.0,777.0,65418.0,-1.0490185546875002,3.726650390625,8.954978027343751,-0.010125574286379316,-0.010658499248820334,-0.0021316998497640663,1.02398681640625,0.189697265625,0.04742431640625,-0.0072021484375,0.17167594787563245,5.730890201357854,20.998439423033865,1.000008702278,0.004039600026,0.000873477547,-3.5337551e-05,-0.0036449638545850735,0.10011043375747798,0.46289433444598177,0.17532091173021752,5.630779767600377,20.535545088587885,0.023978114128250017,0.185657665599,0.04655083885925,0.0071668108865
1724242864.1370823,-441.0,1562.0,3744.0,-42.0,-41.0,-4.0,16777.0,3107.0,776.0,65418.0,-1.05620361328125,3.7410205078125003,8.966953125,-0.011191424211261349,-0.010924961730040842,-0.0010658499248820332,1.02398681640625,0.18963623046875,0.04736328125,-0.0072021484375,0.1701466482521676,5.723641765683608,20.991755595050787,1.000011563301,0.004616617225,0.001003817306,-4.0237599e-05,-0.004079720509343958,0.1150516842156354,0.529011393892395,0.17422636876151157,5.608590081467972,20.46274420115839,0.02397525310524995,0.18501961324375,0.046359463944,0.0071619108385
1724242864.1384468,-442.0,1565.0,3734.0,-45.0,-42.0,-2.0,16777.0,3106.0,775.0,65418.0,-1.0585986328125,3.7482055664062504,8.9430029296875,-0.011990811654922873,-0.011191424211261349,-0.0005329249624410166,1.02398681640625,0.1895751953125,0.04730224609375,-0.0072021484375,0.16861808821976995,5.7163934219184105,20.985071834100275,1.000014901161,0.0051901564,0.001133148558,-4.2890813e-05,-0.004240825220341247,0.12987681522825142,0.5947291048706598,0.1728589134401112,5.586516606690159,20.390342729229616,0.023971915245249997,0.1843850389125,0.04616909753575,0.0071592576245
1724242864.1527877,-443.0,1568.0,3728.0,-44.0,-43.0,-1.0,16777.0,3105.0,774.0,65418.0,-1.06099365234375,3.755390625,8.9286328125,-0.011724349173702365,-0.011457886692481857,-0.0002664624812205083,1.02398681640625,0.18951416015625,0.0472412109375,-0.0072021484375,0.16709026781658495,5.709145169942769,20.978388140109704,1.000018596649,0.005764798261,0.001261476427,-4.4448421e-05,-0.00425988752831881,0.1445867546360441,0.6605722436730614,0.17135015534490378,5.564558415306725,20.31781589643664,0.023968219757249942,0.18374936189525,0.0459797345105,0.0071577000165
1724242864.1545072,-444.0,1561.0,3725.0,-40.0,-44.0,-2.0,16786.0,3111.0,778.0,65418.0,-1.063388671875,3.7386254882812504,8.92144775390625,-0.010658499248820334,-0.011724349173702365,-0.0005329249624410166,1.0245361328125,0.18988037109375,0.0474853515625,-0.0072021484375,0.17321332314991775,5.741244104600594,21.007311717421917,1.000022768974,0.006343665998,0.001389900339,-4.7215217e-05,-0.004399858540171348,0.15930900062511427,0.7268981590991266,0.1776131816900891,5.581935103975479,20.280413558322792,0.024513363838500002,0.18353670509574999,0.0460954512235,0.0071549332205
1724242864.168775,-439.0,1553.0,3732.0,-34.0,-40.0,-7.0,16786.0,3110.0,777.0,65418.0,-1.05141357421875,3.71946533203125,8.938212890625,-0.009059724361497283,-0.010658499248820334,-0.0018652373685435581,1.0245361328125,0.1898193359375,0.04742431640625,-0.0072021484375,0.17168415304923346,5.73399167613364,21.00063149270786,1.000027298927,0.006929662544,0.001522010309,-5.5730561e-05,-0.0051773076980984505,0.1744588195022543,0.794038566918559,0.17686146074733192,5.559532856631386,20.2065929257893,0.02450883388549996,0.1828896733935,0.045902306097250004,0.0071464178765
1724242864.170235,-439.0,1557.0,3732.0,-37.0,-41.0,-4.0,16786.0,3109.0,776.0,65418.0,-1.05141357421875,3.72904541015625,8.938212890625,-0.00985911180515881,-0.010924961730040842,-0.0010658499248820332,1.0245361328125,0.18975830078125,0.04736328125,-0.0072021484375,0.17015572168749651,5.726739339844512,20.993951334988456,1.000032305717,0.00751232123,0.001652611769,-6.0852894e-05,-0.005550148069511447,0.18943420723678417,0.8607954263842827,0.17570586975700797,5.537305132607727,20.133155908604174,0.02450382709550003,0.18224597955125,0.045710669481,0.0071412955435
1724242864.1848557,-437.0,1556.0,3733.0,-40.0,-41.0,-4.0,16786.0,3108.0,775.0,65418.0,-1.04662353515625,3.726650390625,8.94060791015625,-0.010658499248820334,-0.010924961730040842,-0.0010658499248820332,1.0245361328125,0.189697265625,0.04730224609375,-0.0072021484375,0.16862802910280503,5.7194870956135055,20.987271244191213,1.000037670135,0.008091699332,0.001782650943,-6.6008753e-05,-0.005910571283669891,0.20434608508958546,0.9271747409868454,0.17453860038647492,5.51514101052392,20.060096503204367,0.0244984626775,0.181605566293,0.04551959515075,0.0071361396845
1724242864.1864243,-436.0,1562.0,3733.0,-48.0,-42.0,-6.0,16786.0,3107.0,774.0,65418.0,-1.044228515625,3.7410205078125003,8.94060791015625,-0.0127901990985844,-0.011191424211261349,-0.00159877488732305,1.0245361328125,0.18963623046875,0.0472412109375,-0.0072021484375,0.16710107533325297,5.712234943320927,20.980591220243628,1.000043511391,0.008662171662,0.001910619088,-7.3483097e-05,-0.006523372726512131,0.21902382003431997,0.9925312789801398,0.1736244480597651,5.493211123286606,19.98805994126349,0.024492621421499994,0.18097405880675,0.0453305918495,0.0071286653405
1724242864.2009768,-439.0,1560.0,3742.0,-52.0,-50.0,5.0,16786.0,3106.0,773.0,65418.0,-1.05141357421875,3.73623046875,8.962163085937501,-0.013856049023466434,-0.013323124061025416,0.0013323124061025418,1.0245361328125,0.1895751953125,0.04718017578125,-0.0072021484375,0.1655748604169301,5.704982882847099,20.973911263073173,1.000049829483,0.00922766421,0.002030789852,-6.8481211e-05,-0.0056993475438537914,0.2327960244820412,1.0573181572933796,0.17127420796078388,5.472186858365058,19.916593105779793,0.02448630332949997,0.1803475311025,0.04514938592925,0.0071336672265
1724242864.2023952,-437.0,1550.0,3737.0,-60.0,-47.0,2.0,16786.0,3105.0,772.0,65418.0,-1.04662353515625,3.7122802734375,8.95018798828125,-0.015987748873230498,-0.012523736617363892,0.0005329249624410166,1.0245361328125,0.18951416015625,0.047119140625,-0.0072021484375,0.1640493843919221,5.697730914072355,20.967231372607305,1.000056624413,0.009783855639,0.002154872054,-6.6920577e-05,-0.0052519654151069895,0.24701992350914884,1.1210367058469504,0.1693013498070291,5.450710990563206,19.846194666760354,0.024479508399499972,0.17973030451725,0.044964268571,0.0071352278605
1724242864.2170486,-434.0,1542.0,3740.0,-49.0,-42.0,-4.0,16786.0,3104.0,771.0,65418.0,-1.0394384765625,3.6931201171875,8.957373046875,-0.013056661579804908,-0.011191424211261349,-0.0010658499248820332,1.0245361328125,0.189453125,0.04705810546875,-0.0072021484375,0.16252464729631044,5.690479036877044,20.960551548773434,1.00006377697,0.010352682322,0.002284565242,-7.2245537e-05,-0.0055677305331755305,0.26189520810068584,1.1861992578338363,0.16809237782948597,5.428583828776358,19.774352290939596,0.02447235584249996,0.179100442678,0.04477354022675,0.0071299029005
1724242864.2185574,-437.0,1549.0,3735.0,-28.0,-41.0,-16.0,16786.0,3103.0,770.0,65418.0,-1.04662353515625,3.70988525390625,8.94539794921875,-0.007460949474174233,-0.010924961730040842,-0.004263399699528133,1.0245361328125,0.18939208984375,0.0469970703125,-0.0072021484375,0.16100064916817247,5.683227251141529,20.953871791498983,1.000071048737,0.010945391841,0.002416030504,-9.1406298e-05,-0.007442923430266585,0.27699209769152894,1.254092349595107,0.16844357259843906,5.406235153450001,19.699779441903875,0.024465084075500076,0.17844669800275,0.0445810398085,0.0071107421395
1724242864.2328403,-439.0,1555.0,3724.0,-24.0,-42.0,-13.0,16795.0,3109.0,774.0,65418.0,-1.05141357421875,3.7242553710937503,8.919052734375,-0.0063950995492922,-0.011191424211261349,-0.0034640122558666085,1.02508544921875,0.18975830078125,0.0472412109375,-0.0072021484375,0.1671117619169635,5.71532473336613,20.982791918009905,1.000078678131,0.011542625725,0.002546526724,-0.000107203654,-0.008914808614744143,0.2919764871452631,1.322501987706581,0.17602657053170764,5.4233482462208675,19.660289930303325,0.025006771087749957,0.17821567505625,0.0446946842135,0.0070949447835
1724242864.2487116,-433.0,1561.0,3733.0,-45.0,-43.0,-2.0,16795.0,3108.0,773.0,65418.0,-1.0370434570312501,3.7386254882812504,8.94060791015625,-0.011990811654922873,-0.011457886692481857,-0.0005329249624410166,1.02508544921875,0.189697265625,0.04718017578125,-0.0072021484375,0.16558641183858946,5.708068772660746,20.976115626754325,1.000087022781,0.012116651982,0.002672826871,-0.000110365945,-0.00893417412120866,0.30646475247176763,1.3882534125825998,0.17452058595979814,5.401604020188978,19.587862214171725,0.024998426437750076,0.177580613643,0.04450734891025,0.0070917824925
1724242864.2500925,-432.0,1562.0,3741.0,-59.0,-45.0,5.0,16795.0,3107.0,772.0,65418.0,-1.0346484375,3.7410205078125003,8.95976806640625,-0.01572128639200999,-0.011990811654922873,0.0013323124061025418,1.02508544921875,0.18963623046875,0.047119140625,-0.0072021484375,0.16406179983869845,5.700812903803088,20.96943940209352,1.000095963478,0.012674767524,0.002796340268,-0.000105532221,-0.008030029415201263,0.32062269172429897,1.4521817980106708,0.1720918292538997,5.380190212078789,19.51725760408285,0.024989485740749995,0.17696146294475001,0.044322800357,0.0070966162165
