a_x,a_y,a_z,w_x,w_y,w_z,q_w_int,q_x_int,q_y_int,q_z_int,a_x_fp,a_y_fp,a_z_fp,w_x_fp,w_y_fp,w_z_fp,q_w,q_x,q_y,q_z,psi,theta,phi
-72,330,196,-225,92,-172,16384,65518,10,65519,-0.00439453125,0.0201416015625,0.011962890625,-0.01373291015625,0.005615234375,-0.010498046875,1.0,-0.0010986328125,0.0006103515625,-0.00103759765625,-0.11897663050014616,0.06981052700599161,-0.1259664779372599
-76,329,198,-228,82,-184,16384,65500,19,65501,-0.004638671875,0.02008056640625,0.0120849609375,-0.013916015625,0.0050048828125,-0.01123046875,1.0,-0.002197265625,0.00115966796875,-0.00213623046875,-0.24508474040710346,0.1323504007953582,-0.25207075265389967
-83,326,202,-233,77,-189,16384,65481,27,65483,-0.00506591796875,0.0198974609375,0.0123291015625,-0.01422119140625,0.00469970703125,-0.01153564453125,1.0,-0.00335693359375,0.00164794921875,-0.00323486328125,-0.37131746470600463,0.18759703026544128,-0.3852826780944457
-94,321,207,-238,72,-192,16384,65462,35,65465,-0.0057373046875,0.01959228515625,0.01263427734375,-0.0145263671875,0.00439453125,-0.01171875,1.0,-0.0045166015625,0.00213623046875,-0.00433349609375,-0.49767665831893587,0.24255184094857396,-0.518614271648181
-103,317,212,-248,67,-197,16384,65442,43,65446,-0.00628662109375,0.01934814453125,0.012939453125,-0.01513671875,0.00408935546875,-0.01202392578125,1.0,-0.0057373046875,0.00262451171875,-0.0054931640625,-0.6311727946974813,0.2971367589116683,-0.6590760166519072
-112,310,217,-266,61,-205,16384,65420,50,65426,-0.0068359375,0.0189208984375,0.01324462890625,-0.0162353515625,0.00372314453125,-0.01251220703125,1.0,-0.007080078125,0.0030517578125,-0.0067138671875,-0.7717850585249292,0.34426068104633567,-0.8136220625171331
-116,306,221,-282,56,-215,16384,65396,57,65405,-0.007080078125,0.0186767578125,0.01348876953125,-0.0172119140625,0.00341796875,-0.01312255859375,1.0,-0.008544921875,0.00347900390625,-0.00799560546875,-0.9195592659992011,0.390838408196724,-0.9822880494199193
-121,302,229,-302,54,-228,16384,65370,64,65383,-0.00738525390625,0.0184326171875,0.01397705078125,-0.0184326171875,0.0032958984375,-0.013916015625,1.0,-0.0101318359375,0.00390625,-0.00933837890625,-1.074508452560561,0.4367854365580537,-1.165078124079587
-124,298,236,-325,51,-243,16384,65342,70,65360,-0.007568359375,0.0181884765625,0.014404296875,-0.01983642578125,0.00311279296875,-0.01483154296875,1.0,-0.0118408203125,0.0042724609375,-0.0107421875,-1.2365610008056835,0.475017777679958,-1.3619194084664068
-125,287,244,-361,46,-266,16383,65310,76,65335,-0.00762939453125,0.01751708984375,0.014892578125,-0.02203369140625,0.0028076171875,-0.0162353515625,0.99993896484375,-0.0137939453125,0.004638671875,-0.01226806640625,-1.4129234934032897,0.5121352572921113,-1.5869794368084131
-127,277,250,-392,41,-284,16382,65275,82,65308,-0.00775146484375,0.01690673828125,0.0152587890625,-0.02392578125,0.00250244140625,-0.017333984375,0.9998779296875,-0.01593017578125,0.0050048828125,-0.013916015625,-1.6035160317886796,0.5480524910560554,-1.8331999715222347
-125,270,251,-425,36,-305,16381,65237,87,65279,-0.00762939453125,0.0164794921875,0.01531982421875,-0.02593994140625,0.002197265625,-0.01861572265625,0.99981689453125,-0.01824951171875,0.00531005859375,-0.01568603515625,-1.8082181338710601,0.5755828922726802,-2.100471901421322
-123,268,253,-458,28,-325,16380,65196,91,65248,-0.00750732421875,0.016357421875,0.01544189453125,-0.0279541015625,0.001708984375,-0.01983642578125,0.999755859375,-0.020751953125,0.00555419921875,-0.017578125,-2.026980690099476,0.5945188714646559,-2.388752365916598
-121,268,254,-502,18,-351,16378,65151,94,65215,-0.00738525390625,0.016357421875,0.0155029296875,-0.0306396484375,0.0010986328125,-0.02142333984375,0.9996337890625,-0.02349853515625,0.0057373046875,-0.01959228515625,-2.259914270143716,0.6044603290966989,-2.705143924925654
-122,266,254,-530,10,-366,16376,65103,97,65180,-0.0074462890625,0.0162353515625,0.0155029296875,-0.0323486328125,0.0006103515625,-0.0223388671875,0.99951171875,-0.02642822265625,0.00592041015625,-0.021728515625,-2.506986640359728,0.6123056705205608,-3.0426198451966084
-121,265,254,-550,3,-379,16374,65053,99,65144,-0.00738525390625,0.01617431640625,0.0155029296875,-0.0335693359375,0.00018310546875,-0.02313232421875,0.9993896484375,-0.02947998046875,0.00604248046875,-0.02392578125,-2.7609457837190323,0.6111811865351471,-3.393965015129722
-120,260,253,-561,-8,-389,16371,65002,100,65107,-0.00732421875,0.015869140625,0.01544189453125,-0.03424072265625,-0.00048828125,-0.02374267578125,0.99920654296875,-0.0325927734375,0.006103515625,-0.02618408203125,-3.021856067856751,0.6010736485178613,-3.7523490987796264
-116,255,256,-563,-18,-397,16368,64951,100,65069,-0.007080078125,0.01556396484375,0.015625,-0.03436279296875,-0.0010986328125,-0.02423095703125,0.9990234375,-0.03570556640625,0.006103515625,-0.02850341796875,-3.289443852023184,0.5821150209113363,-4.110525498549339
-115,250,259,-558,-26,-394,16365,64900,99,65032,-0.00701904296875,0.0152587890625,0.01580810546875,-0.0340576171875,-0.0015869140625,-0.0240478515625,0.99884033203125,-0.038818359375,0.00604248046875,-0.03076171875,-3.5496515050828954,0.5547869425752255,-4.468368809589705
-115,244,266,-545,-33,-389,16362,64851,97,64995,-0.00701904296875,0.014892578125,0.0162353515625,-0.03326416015625,-0.00201416015625,-0.02374267578125,0.9986572265625,-0.04180908203125,0.00592041015625,-0.03302001953125,-3.8093395102395426,0.5193273109604992,-4.811876935973374
-117,240,271,-527,-41,-379,16359,64803,95,64959,-0.00714111328125,0.0146484375,0.01654052734375,-0.03216552734375,-0.00250244140625,-0.02313232421875,0.99847412109375,-0.04473876953125,0.00579833984375,-0.03521728515625,-4.061800250596417,0.4828847229223314,-5.1482076658335245
-125,232,282,-497,-49,-361,16355,64758,92,64925,-0.00762939453125,0.01416015625,0.0172119140625,-0.03033447265625,-0.00299072265625,-0.02203369140625,0.99822998046875,-0.0474853515625,0.005615234375,-0.03729248046875,-4.299953557915379,0.43939976788452056,-5.4634564903044875
-131,226,292,-474,-56,-348,16351,64715,88,64892,-0.00799560546875,0.0137939453125,0.017822265625,-0.0289306640625,-0.00341796875,-0.021240234375,0.99798583984375,-0.05010986328125,0.00537109375,-0.039306640625,-4.530528259486792,0.38853999638053216,-5.764296871382194
-138,221,307,-453,-61,-335,16348,64674,84,64861,-0.0084228515625,0.01348876953125,0.01873779296875,-0.02764892578125,-0.00372314453125,-0.02044677734375,0.997802734375,-0.0526123046875,0.005126953125,-0.04119873046875,-4.746589862359172,0.33783250538265247,-6.050612290437679
-145,217,321,-435,-67,-323,16344,64635,79,64831,-0.00885009765625,0.01324462890625,0.01959228515625,-0.02655029296875,-0.00408935546875,-0.01971435546875,0.99755859375,-0.05499267578125,0.00482177734375,-0.04302978515625,-4.955322077968717,0.2800264910612803,-6.322848067309604
-157,211,340,-417,-69,-307,16340,64597,74,64802,-0.00958251953125,0.01287841796875,0.020751953125,-0.02545166015625,-0.00421142578125,-0.01873779296875,0.997314453125,-0.05731201171875,0.0045166015625,-0.0447998046875,-5.156820179958641,0.22195352861821455,-6.587918528763044
-166,205,356,-410,-67,-297,16336,64560,70,64774,-0.0101318359375,0.01251220703125,0.021728515625,-0.0250244140625,-0.00408935546875,-0.01812744140625,0.9970703125,-0.0595703125,0.0042724609375,-0.0465087890625,-5.351512802301495,0.17067301938525153,-6.846161282445941
-177,200,372,-404,-64,-289,16332,64524,66,64747,-0.01080322265625,0.01220703125,0.022705078125,-0.024658203125,-0.00390625,-0.01763916015625,0.996826171875,-0.061767578125,0.0040283203125,-0.04815673828125,-5.539024316017499,0.11929104758562498,-7.09728401441096
-188,193,386,-404,-61,-282,16328,64488,62,64721,-0.011474609375,0.01177978515625,0.0235595703125,-0.024658203125,-0.00372314453125,-0.0172119140625,0.99658203125,-0.06396484375,0.0037841796875,-0.04974365234375,-5.719347651082597,0.0675403412497044,-7.348269850207678
-201,181,402,-412,-56,-271,16324,64451,59,64695,-0.01226806640625,0.01104736328125,0.0245361328125,-0.025146484375,-0.00341796875,-0.01654052734375,0.996337890625,-0.06622314453125,0.00360107421875,-0.05133056640625,-5.89989177920813,0.021613707254297187,-7.606433519278425
-209,170,410,-422,-51,-266,16320,64413,57,64670,-0.01275634765625,0.0103759765625,0.0250244140625,-0.0257568359375,-0.00311279296875,-0.0162353515625,0.99609375,-0.06854248046875,0.00347900390625,-0.0528564453125,-6.073715321577479,-0.0180479214065717,-7.871823250475444
-207,158,418,-435,-46,-259,16316,64374,55,64646,-0.01263427734375,0.0096435546875,0.0255126953125,-0.02655029296875,-0.0028076171875,-0.01580810546875,0.995849609375,-0.0709228515625,0.00335693359375,-0.0543212890625,-6.240356953381768,-0.05839812751475146,-8.144091390727334
-208,142,424,-458,-41,-253,16311,64333,54,64622,-0.0126953125,0.0086669921875,0.02587890625,-0.0279541015625,-0.00250244140625,-0.01544189453125,0.99554443359375,-0.07342529296875,0.0032958984375,-0.0557861328125,-6.407636366898806,-0.09338068012550763,-8.431071658833863
-184,129,422,-474,-36,-251,16306,64290,54,64598,-0.01123046875,0.00787353515625,0.0257568359375,-0.0289306640625,-0.002197265625,-0.01531982421875,0.9952392578125,-0.0760498046875,0.0032958984375,-0.0572509765625,-6.5752059161513605,-0.12303912227418254,-8.73229829086246
-159,119,420,-494,-28,-251,16301,64246,54,64574,-0.00970458984375,0.00726318359375,0.025634765625,-0.0301513671875,-0.001708984375,-0.01531982421875,0.99493408203125,-0.0787353515625,0.0032958984375,-0.0587158203125,-6.742582373809109,-0.15398936154425685,-9.040411385722644
-168,106,419,-507,-23,-251,16295,64200,55,64550,-0.01025390625,0.0064697265625,0.02557373046875,-0.03094482421875,-0.00140380859375,-0.01531982421875,0.99456787109375,-0.08154296875,0.00335693359375,-0.0601806640625,-6.910689382876597,-0.17974995635618674,-9.363345102668315
-219,86,409,-502,-18,-251,16290,64154,57,64526,-0.01336669921875,0.0052490234375,0.02496337890625,-0.0306396484375,-0.0010986328125,-0.01531982421875,0.9942626953125,-0.0843505859375,0.00347900390625,-0.0616455078125,-7.078823839914188,-0.19948034657707817,-9.686073110838802
-266,79,406,-489,-10,-246,16284,64109,60,64503,-0.0162353515625,0.00482177734375,0.0247802734375,-0.02984619140625,-0.0006103515625,-0.0150146484375,0.993896484375,-0.08709716796875,0.003662109375,-0.06304931640625,-7.24097993370146,-0.2121850073276768,-10.002870011297711
-310,77,412,-468,-3,-238,16279,64066,64,64481,-0.0189208984375,0.00469970703125,0.025146484375,-0.028564453125,-0.00018310546875,-0.0145263671875,0.99359130859375,-0.0897216796875,0.00390625,-0.06439208984375,-7.396407540626784,-0.21728335246395117,-10.305621241180212
-341,81,424,-448,-3,-228,16274,64025,68,64460,-0.02081298828125,0.00494384765625,0.02587890625,-0.02734375,-0.00018310546875,-0.013916015625,0.9932861328125,-0.09222412109375,0.004150390625,-0.065673828125,-7.544961011606919,-0.22164189890238445,-10.594499632084913
-344,83,444,-435,-5,-212,16269,63985,71,64440,-0.02099609375,0.00506591796875,0.027099609375,-0.02655029296875,-0.00030517578125,-0.012939453125,0.99298095703125,-0.09466552734375,0.00433349609375,-0.06689453125,-7.685935574708891,-0.23256729920811117,-10.876002258230558
-327,77,457,-435,-10,-200,16264,63945,74,64422,-0.01995849609375,0.00469970703125,0.02789306640625,-0.02655029296875,-0.0006103515625,-0.01220703125,0.99267578125,-0.09710693359375,0.0045166015625,-0.0679931640625,-7.8129584641323095,-0.24283017365412093,-11.157593730133406
-308,67,461,-440,-20,-189,16259,63905,76,64405,-0.018798828125,0.00408935546875,0.02813720703125,-0.02685546875,-0.001220703125,-0.01153564453125,0.99237060546875,-0.09954833984375,0.004638671875,-0.06903076171875,-7.932288060541379,-0.2599651488529403,-11.438740202785318
-296,55,457,-440,-31,-177,16253,63865,77,64389,-0.01806640625,0.00335693359375,0.02789306640625,-0.02685546875,-0.00189208984375,-0.01080322265625,0.99200439453125,-0.10198974609375,0.00469970703125,-0.07000732421875,-8.04436217469032,-0.2839474940199425,-11.72013564956375
-286,47,441,-433,-41,-161,16248,63825,78,64375,-0.0174560546875,0.00286865234375,0.02691650390625,-0.02642822265625,-0.00250244140625,-0.00982666015625,0.99169921875,-0.10443115234375,0.0047607421875,-0.07086181640625,-8.141953720883278,-0.3069873092589376,-12.000922895471462
-285,42,428,-417,-49,-148,16243,63787,78,64362,-0.01739501953125,0.0025634765625,0.026123046875,-0.02545166015625,-0.00299072265625,-0.009033203125,0.99139404296875,-0.10675048828125,0.0047607421875,-0.0716552734375,-8.231893708027751,-0.3356937654558046,-12.267363700631842
-283,40,417,-394,-54,-136,16238,63751,77,64350,-0.01727294921875,0.00244140625,0.02545166015625,-0.0240478515625,-0.0032958984375,-0.00830078125,0.9910888671875,-0.10894775390625,0.00469970703125,-0.0723876953125,-8.314158247438984,-0.36997855059240803,-12.519461779228072
-281,36,410,-371,-56,-120,16233,63717,76,64340,-0.01715087890625,0.002197265625,0.0250244140625,-0.02264404296875,-0.00341796875,-0.00732421875,0.99078369140625,-0.11102294921875,0.004638671875,-0.072998046875,-8.382566212623017,-0.40205213971980486,-12.757809744225563
-279,28,403,-335,-56,-100,16229,63686,75,64332,-0.01702880859375,0.001708984375,0.02459716796875,-0.02044677734375,-0.00341796875,-0.006103515625,0.99053955078125,-0.1129150390625,0.00457763671875,-0.073486328125,-8.436722257546082,-0.4312558128863621,-12.974715711691463
-279,19,399,-307,-54,-84,16225,63658,74,64325,-0.01702880859375,0.00115966796875,0.02435302734375,-0.01873779296875,-0.0032958984375,-0.005126953125,0.99029541015625,-0.1146240234375,0.0045166015625,-0.07391357421875,-8.4840968564152,-0.4583139959551615,-13.170884156055703
-280,11,397,-276,-49,-69,16221,63633,74,64320,-0.01708984375,0.00067138671875,0.02423095703125,-0.016845703125,-0.00299072265625,-0.00421142578125,0.99005126953125,-0.11614990234375,0.0045166015625,-0.07421875,-8.518597033878205,-0.4754267493237568,-13.34693744797527
-278,6,395,-246,-44,-56,16218,63611,74,64316,-0.0169677734375,0.0003662109375,0.02410888671875,-0.0150146484375,-0.002685546875,-0.00341796875,0.9898681640625,-0.11749267578125,0.0045166015625,-0.074462890625,-8.545876613307852,-0.49022914865029804,-13.50147937697425
-279,-1,394,-202,-36,-36,16215,63593,75,64314,-0.01702880859375,-6.103515625e-05,0.0240478515625,-0.0123291015625,-0.002197265625,-0.002197265625,0.98968505859375,-0.11859130859375,0.00457763671875,-0.0745849609375,-8.560455060857963,-0.4944354198068099,-13.629001834384471
-278,-6,390,-169,-31,-20,16213,63578,76,64313,-0.0169677734375,-0.0003662109375,0.0238037109375,-0.01031494140625,-0.00189208984375,-0.001220703125,0.98956298828125,-0.1195068359375,0.004638671875,-0.07464599609375,-8.567859621894593,-0.49623908403766553,-13.73500947705633
-280,-10,389,-133,-26,-8,16211,63566,78,64313,-0.01708984375,-0.0006103515625,0.02374267578125,-0.00811767578125,-0.0015869140625,-0.00048828125,0.98944091796875,-0.1202392578125,0.0047607421875,-0.07464599609375,-8.56944984210498,-0.48872815980707573,-13.820844210362647
-280,-15,389,-87,-18,8,16210,63559,80,64314,-0.01708984375,-0.00091552734375,0.02374267578125,-0.00531005859375,-0.0010986328125,0.00048828125,0.9893798828125,-0.12066650390625,0.0048828125,-0.0745849609375,-8.564069785597223,-0.47773201791577635,-13.871298661573045
-281,-18,390,-54,-10,18,16209,63555,83,64316,-0.01715087890625,-0.0010986328125,0.0238037109375,-0.0032958984375,-0.0006103515625,0.0010986328125,0.98931884765625,-0.12091064453125,0.00506591796875,-0.074462890625,-8.552888545217847,-0.45740256348670083,-13.901577337879486
-282,-19,394,-28,-5,20,16209,63554,86,64318,-0.0172119140625,-0.00115966796875,0.0240478515625,-0.001708984375,-0.00030517578125,0.001220703125,0.98931884765625,-0.1209716796875,0.0052490234375,-0.0743408203125,-8.541471787407318,-0.43547229464803505,-13.910228134778158
-282,-20,397,-13,-3,23,16209,63554,89,64321,-0.0172119140625,-0.001220703125,0.02423095703125,-0.00079345703125,-0.00018310546875,0.00140380859375,0.98931884765625,-0.1209716796875,0.00543212890625,-0.07415771484375,-8.52321888678707,-0.4121751625130287,-13.912035071780378
-287,-19,406,0,3,18,16209,63555,93,64323,-0.01751708984375,-0.00115966796875,0.0247802734375,0.0,0.00018310546875,0.0010986328125,0.98931884765625,-0.12091064453125,0.00567626953125,-0.07403564453125,-8.512823581069345,-0.38228681671795284,-13.90733321552209
-289,-17,416,0,5,13,16209,63556,97,64325,-0.01763916015625,-0.00103759765625,0.025390625,0.0,0.00030517578125,0.00079345703125,0.98931884765625,-0.120849609375,0.00592041015625,-0.07391357421875,-8.50242554275229,-0.3524002825310778,-13.902625806728242
-294,-16,428,-3,10,5,16209,63557,101,64326,-0.0179443359375,-0.0009765625,0.026123046875,-0.00018310546875,0.0006103515625,0.00030517578125,0.98931884765625,-0.12078857421875,0.00616455078125,-0.0738525390625,-8.498952750022013,-0.32336037424475794,-13.897830583224236
-294,-14,438,-8,13,-5,16209,63558,106,64326,-0.0179443359375,-0.0008544921875,0.0267333984375,-0.00048828125,0.00079345703125,-0.00030517578125,0.98931884765625,-0.1207275390625,0.0064697265625,-0.0738525390625,-8.50324823935852,-0.2882462979215559,-13.89346579998759
-301,-14,452,-26,13,-18,16208,63557,111,64325,-0.01837158203125,-0.0008544921875,0.027587890625,-0.0015869140625,0.00079345703125,-0.0010986328125,0.9892578125,-0.12078857421875,0.00677490234375,-0.07391357421875,-8.5148263688449,-0.2550576083671427,-13.90372466408178
-319,-29,452,-49,3,-18,16207,63553,115,64324,-0.01947021484375,-0.00177001953125,0.027587890625,-0.00299072265625,0.00018310546875,-0.0010986328125,0.98919677734375,-0.12103271484375,0.00701904296875,-0.073974609375,-8.525336267129381,-0.23034490827326873,-13.934260870688282
-340,-44,431,-67,-13,-10,16206,63547,118,64324,-0.020751953125,-0.002685546875,0.02630615234375,-0.00408935546875,-0.00079345703125,-0.0006103515625,0.9891357421875,-0.12139892578125,0.0072021484375,-0.073974609375,-8.527932141568053,-0.2127438060211032,-13.97821948074439
-346,-47,406,-72,-18,0,16205,63541,120,64325,-0.0211181640625,-0.00286865234375,0.0247802734375,-0.00439453125,-0.0010986328125,0.0,0.98907470703125,-0.12176513671875,0.00732421875,-0.07391357421875,-8.522763030624658,-0.2012113832274934,-14.02174068966752
-336,-40,374,-54,-26,18,16204,63537,122,64328,-0.0205078125,-0.00244140625,0.0228271484375,-0.0032958984375,-0.0015869140625,0.0010986328125,0.989013671875,-0.12200927734375,0.0074462890625,-0.07373046875,-8.503897270508038,-0.18693577904449798,-14.051557297980022
-325,-36,349,-20,-31,31,16204,63536,123,64332,-0.01983642578125,-0.002197265625,0.02130126953125,-0.001220703125,-0.00189208984375,0.00189208984375,0.989013671875,-0.1220703125,0.00750732421875,-0.073486328125,-8.476964884759235,-0.17711904010684149,-14.0592956204541
-309,-28,330,31,-28,36,16205,63540,124,64336,-0.01885986328125,-0.001708984375,0.0201416015625,0.00189208984375,-0.001708984375,0.002197265625,0.98907470703125,-0.121826171875,0.007568359375,-0.0732421875,-8.449888315739367,-0.16468462538339487,-14.031536400356275
-292,-16,327,95,-18,36,16206,63550,126,64340,-0.017822265625,-0.0009765625,0.01995849609375,0.00579833984375,-0.0010986328125,0.002197265625,0.9891357421875,-0.1212158203125,0.0076904296875,-0.072998046875,-8.424084415319818,-0.14228152438200314,-13.962709558448259
-265,-3,342,179,-8,28,16208,63568,128,64343,-0.01617431640625,-0.00018310546875,0.0208740234375,0.01092529296875,-0.00048828125,0.001708984375,0.9892578125,-0.1201171875,0.0078125,-0.07281494140625,-8.405226238071403,-0.11662556061296123,-13.837518223565183
-248,11,367,223,3,20,16210,63591,130,64345,-0.01513671875,0.00067138671875,0.02239990234375,0.01361083984375,0.00018310546875,0.001220703125,0.9893798828125,-0.11871337890625,0.0079345703125,-0.07269287109375,-8.393575071420775,-0.08930262512111074,-13.677589037507884
-235,20,398,241,8,13,16213,63616,132,64346,-0.01434326171875,0.001220703125,0.0242919921875,0.01470947265625,0.00048828125,0.00079345703125,0.98956298828125,-0.1171875,0.008056640625,-0.0726318359375,-8.388399501320078,-0.061763705079124084,-13.50288617454849
-233,32,423,233,10,8,16215,63640,134,64347,-0.01422119140625,0.001953125,0.02581787109375,0.01422119140625,0.0006103515625,0.00048828125,0.98968505859375,-0.11572265625,0.0081787109375,-0.07257080078125,-8.383586313248053,-0.03480579237744979,-13.33592510937997
-276,77,413,159,23,18,16217,63658,138,64349,-0.016845703125,0.00469970703125,0.02520751953125,0.00970458984375,0.00140380859375,0.0010986328125,0.98980712890625,-0.1146240234375,0.0084228515625,-0.07244873046875,-8.373008931715141,0.0037395285732369173,-13.211633335194788
-351,144,323,51,61,49,16218,63665,147,64353,-0.02142333984375,0.0087890625,0.01971435546875,0.00311279296875,0.00372314453125,0.00299072265625,0.9898681640625,-0.11419677734375,0.00897216796875,-0.07220458984375,-8.352371088994083,0.07284953665523834,-13.167072833900336
