a_x,a_y,a_z,w_x,w_y,w_z,q_w_int,q_x_int,q_y_int,q_z_int,a_x_fp,a_y_fp,a_z_fp,w_x_fp,w_y_fp,w_z_fp,q_w,q_x,q_y,q_z,psi,theta,phi
-381,-118,458,573,666,-210,15988,62752,2653,1241,-0.02325439453125,-0.0072021484375,0.0279541015625,0.03497314453125,0.0406494140625,-0.0128173828125,0.975830078125,-0.169921875,0.16192626953125,0.07574462890625,5.583984890981139,19.984528515964016,-18.784729904015954
-375,-196,591,502,671,-131,15986,62792,2721,1210,-0.02288818359375,-0.011962890625,0.03607177734375,0.0306396484375,0.04095458984375,-0.00799560546875,0.9757080078125,-0.16748046875,0.16607666015625,0.0738525390625,5.338113778903492,20.415302924284294,-18.531184439713517
-342,-200,732,748,622,-56,15987,62860,2786,1184,-0.0208740234375,-0.01220703125,0.044677734375,0.045654296875,0.0379638671875,-0.00341796875,0.97576904296875,-0.163330078125,0.1700439453125,0.072265625,5.170602537080062,20.821243102958224,-18.06721243621653
-348,-207,629,1129,461,-13,15997,62963,2841,1157,-0.021240234375,-0.01263427734375,0.03839111328125,0.06890869140625,0.02813720703125,-0.00079345703125,0.97637939453125,-0.15704345703125,0.17340087890625,0.07061767578125,5.056746961202411,21.148731496537224,-17.34310995347936
-406,-220,425,1196,468,-15,16007,63070,2896,1129,-0.0247802734375,-0.013427734375,0.02593994140625,0.072998046875,0.028564453125,-0.00091552734375,0.97698974609375,-0.1505126953125,0.1767578125,0.06890869140625,4.945366146592823,21.47679698839218,-16.59063583576522
-462,-231,351,1149,596,-59,16014,63171,2962,1095,-0.0281982421875,-0.01409912109375,0.02142333984375,0.07012939453125,0.036376953125,-0.00360107421875,0.9774169921875,-0.14434814453125,0.1807861328125,0.06683349609375,4.775978757615269,21.882320009314714,-15.89110134902041
-481,-211,394,1160,676,-115,16019,63272,3035,1055,-0.02935791015625,-0.01287841796875,0.0240478515625,0.07080078125,0.041259765625,-0.00701904296875,0.97772216796875,-0.13818359375,0.18524169921875,0.06439208984375,4.5614268359591055,22.33527410575186,-15.200895855418375
-499,-145,474,1349,660,-179,16027,63391,3106,1005,-0.03045654296875,-0.00885009765625,0.0289306640625,0.08233642578125,0.040283203125,-0.01092529296875,0.97821044921875,-0.13092041015625,0.1895751953125,0.06134033203125,4.307074762043036,22.764869312736867,-14.39120041907312
-474,-83,530,1418,602,-200,16035,63518,3172,954,-0.0289306640625,-0.00506591796875,0.0323486328125,0.0865478515625,0.0367431640625,-0.01220703125,0.97869873046875,-0.1231689453125,0.193603515625,0.0582275390625,4.067299551651697,23.160158470827252,-13.524539201591322
-444,-51,561,1208,486,-179,16041,63627,3225,909,-0.027099609375,-0.00311279296875,0.03424072265625,0.07373046875,0.0296630859375,-0.01092529296875,0.97906494140625,-0.11651611328125,0.19683837890625,0.05548095703125,3.8599268536770395,23.47594165904168,-12.78313608396897
