a_x_int,a_y_int,a_z_int,w_x_int,w_y_int,w_z_int,q_w_int,q_x_int,q_y_int,q_z_int,a_x,a_y,a_z,w_x,w_y,w_z,q_w,q_x,q_y,q_z,psi,theta,phi,q_w_ref,q_x_ref,q_y_ref,q_z_ref,psi_ref,theta_ref,phi_ref,psi_err,theta_err,phi_err,q_w_err,q_x_err,q_y_err,q_z_err
-127,277,250,-392,41,-284,16382,65276,82,65308,-1.984375,4.328125,3.90625,-1.53125,0.16015625,-1.109375,0.9998779296875,-0.015869140625,0.0050048828125,-0.013916015625,-1.6034841583550528,0.5481498257053191,-1.8262079965054723,0.999763846397,-0.015815081075,0.004891239107,-0.013875914738,-1.5988377772389006,0.5352231654984971,-1.8200199730163515,0.004646381116152121,0.012926660206821983,0.006188023489120731,0.00011408329049999999,5.405954999999907e-05,0.00011364370549999964,4.010088700000074e-05
-125,270,251,-425,36,-305,16381,65238,87,65279,-1.953125,4.21875,3.921875,-1.66015625,0.140625,-1.19140625,0.99981689453125,-0.0181884765625,0.00531005859375,-0.01568603515625,-1.808185040253318,0.575692607723388,-2.0934804138716574,0.999695718288,-0.01810188964,0.005197043531,-0.015651294962,-1.8041419957006624,0.5628993115959346,-2.0835916232469027,0.004043044552655584,0.01279329612745339,0.009888790624754673,0.00012117624325003185,8.658692249999961e-05,0.0001130150627499998,3.4740194249999884e-05
-123,268,253,-458,28,-325,16380,65197,91,65248,-1.921875,4.1875,3.953125,-1.7890625,0.109375,-1.26953125,0.999755859375,-0.02069091796875,0.00555419921875,-0.017578125,-2.0269470014373234,0.594641821489908,-2.381761574545415,0.999613106251,-0.020582718775,0.005455697887,-0.017541317269,-2.0227274091089544,0.5835720860168325,-2.3694876258875412,0.004219592328368993,0.011069735473075437,0.012273948657873568,0.00014275312400002793,0.00010819919374999848,9.850133174999984e-05,3.680773099999993e-05
-121,268,254,-502,18,-351,16378,65152,94,65215,-1.890625,4.1875,3.96875,-1.9609375,0.0703125,-1.37109375,0.9996337890625,-0.0234375,0.0057373046875,-0.01959228515625,-2.2598806523878996,0.6045973673946772,-2.6981536621938385,0.999512016773,-0.023322232068,0.005655404646,-0.019580319524,-2.258502530817578,0.5954270998400263,-2.6850877963758446,0.0013781215703216887,0.00917026755465089,0.01306586581799385,0.00012177228950005503,0.00011526793200000024,8.190004149999982e-05,1.1965632250001551e-05
-122,266,254,-530,10,-366,16376,65104,97,65180,-1.90625,4.15625,3.96875,-2.0703125,0.0390625,-1.4296875,0.99951171875,-0.0263671875,0.00592041015625,-0.021728515625,-2.506953353470431,0.6124576509102491,-3.0356303822787853,0.999392807484,-0.026227191091,0.00581010757,-0.021704340354,-2.5040735871672557,0.6001654536257461,-3.0196680128822386,0.002879766303175213,0.012292197284502926,0.015962369396546716,0.00011891126600005464,0.0001399964090000004,0.00011030258625000042,2.4175271000001497e-05
-121,265,254,-550,3,-379,16374,65054,99,65144,-1.890625,4.140625,3.96875,-2.1484375,0.01171875,-1.48046875,0.9993896484375,-0.0294189453125,0.00604248046875,-0.02392578125,-2.7609134988445816,0.6113485356934534,-3.3869766141584408,0.999254882336,-0.029249954969,0.005923484452,-0.023901890963,-2.7580601744802413,0.598172103595027,-3.367740237054005,0.0028533243643402706,0.013176432098426338,0.01923637710443593,0.00013476610149998347,0.00016899034350000008,0.00011899601675000038,2.389028699999879e-05
-120,260,253,-561,-8,-389,16371,65003,100,65107,-1.875,4.0625,3.953125,-2.19140625,-0.03125,-1.51953125,0.99920654296875,-0.03253173828125,0.006103515625,-0.02618408203125,-3.021825448776597,0.601256793045954,-3.7453615890078233,0.999098777771,-0.032338745892,0.005972509738,-0.026154804975,-3.0182142687562625,0.5868695701133095,-3.7232572817601417,0.003611180020334448,0.014387222932644494,0.022104307247681643,0.00010776519775002047,0.00019299238925000323,0.00013100588700000037,2.927705624999888e-05
-116,255,256,-563,-18,-397,16368,64952,100,65069,-1.8125,3.984375,4.0,-2.19921875,-0.0703125,-1.55078125,0.9990234375,-0.03564453125,0.006103515625,-0.02850341796875,-3.289415554182623,0.582314387350675,-4.103539116815552,0.998925447464,-0.035439923406,0.005959956441,-0.028451688588,-3.283134957097095,0.5666904525676038,-4.080021657466676,0.0062805970855279725,0.015623934783071225,0.02351745934887628,9.799003599997302e-05,0.00020460784399999737,0.00014355918399999983,5.172938075000133e-05
-115,250,259,-558,-26,-394,16365,64901,99,65032,-1.796875,3.90625,4.046875,-2.1796875,-0.1015625,-1.5390625,0.99884033203125,-0.03875732421875,0.00604248046875,-0.03076171875,-3.5496261237089146,0.5550021036244228,-4.461383743498326,0.998737692833,-0.038512639701,0.005900513381,-0.030728559941,-3.545463636924961,0.5396914997057494,-4.433317573385754,0.0041624867839535895,0.015310603918673449,0.028066170112571953,0.00010263919825004297,0.0002446845177499976,0.00014196708774999976,3.3158809000000816e-05
-115,244,266,-545,-33,-389,16362,64852,97,64995,-1.796875,3.8125,4.15625,-2.12890625,-0.12890625,-1.51953125,0.9986572265625,-0.041748046875,0.00592041015625,-0.03302001953125,-3.809317609870036,0.5195582662230966,-4.804893321707303,0.998538017273,-0.041510242969,0.005799910985,-0.032974034548,-3.803848555882397,0.5068074230973908,-4.777777599609066,0.005469053987638972,0.012750843125705846,0.027115722098237427,0.00011920928950004406,0.00023780390599999895,0.0001204991712499999,4.5984983250001166e-05
